"","Reserve","SiteID","TransectID","PlotID","Vegetation_Zone","Region","Geomorphology","tidal_range","salinity","abiotic_cover_change","live_cover_change","halophyte_change","freshwater_change","EIR_change","invasive_cover_change","Richness_change","SWdiv_change","salt_ratio_change"
"1","ACE","EIN","T4","1","Mid","Southeast","Riverine","Microtidal","Polyhaline",1.25,-1.25,-1.25,NA,-0.01,NA,0,0,0
"2","ACE","EIN","T4","2","Mid","Southeast","Riverine","Microtidal","Polyhaline",2.6,-2.6,-2.6,NA,-0.03,NA,0,0.03,0
"3","ACE","EIN","T4","3","Mid","Southeast","Riverine","Microtidal","Polyhaline",-7.31,7.31,7.31,NA,0.07,NA,0,0,0
"4","ACE","EIN","T4","4","Mid","Southeast","Riverine","Microtidal","Polyhaline",-0.87,0.87,0.87,NA,0.01,NA,0,0,0
"5","ACE","EIN","T4","5","Mid","Southeast","Riverine","Microtidal","Polyhaline",1.76,-1.76,-1.76,NA,-0.02,NA,0,0,0
"6","ACE","EIN","T4","6","Mid","Southeast","Riverine","Microtidal","Polyhaline",-1.23,1.23,1.23,NA,0.01,NA,0,0,0
"7","ACE","EIN","T4","7","Low","Southeast","Riverine","Microtidal","Polyhaline",1.04,-1.04,-1.04,NA,-0.01,NA,0,0,0
"8","ACE","EIN","T4","8","Low","Southeast","Riverine","Microtidal","Polyhaline",-3.56,3.56,3.56,NA,0.04,NA,0,0,0
"9","ACE","EIN","T5","1","Mid","Southeast","Riverine","Microtidal","Polyhaline",0.72,-0.72,-0.72,NA,-0.01,NA,0,0,0
"10","ACE","EIN","T5","2","Mid","Southeast","Riverine","Microtidal","Polyhaline",-3.36,3.36,3.36,NA,0.03,NA,0.14,0.1,0
"11","ACE","EIN","T5","3","Mid","Southeast","Riverine","Microtidal","Polyhaline",1.7,-1.7,-1.7,NA,-0.02,NA,-0.14,-0.03,0
"12","ACE","EIN","T5","4","Mid","Southeast","Riverine","Microtidal","Polyhaline",-0.19,0.19,0.19,NA,0,NA,0,0,0
"13","ACE","EIN","T5","5","Mid","Southeast","Riverine","Microtidal","Polyhaline",-2.32,2.32,2.32,NA,0.02,NA,0,0,0
"14","ACE","EIN","T5","6","Mid","Southeast","Riverine","Microtidal","Polyhaline",-2.53,2.53,2.53,NA,0.03,NA,0,0,0
"15","ACE","EIN","T5","7","Low","Southeast","Riverine","Microtidal","Polyhaline",-1.99,1.99,1.99,NA,0.02,NA,0,0,0
"16","ACE","EIN","T5","8","Low","Southeast","Riverine","Microtidal","Polyhaline",2.28,-2.28,-2.28,NA,-0.02,NA,-0.14,0,NA
"17","ACE","EIN","T6","1","Mid","Southeast","Riverine","Microtidal","Polyhaline",-4.42,4.42,4.42,NA,0.04,NA,0,0,0
"18","ACE","EIN","T6","2","Mid","Southeast","Riverine","Microtidal","Polyhaline",-8.67,8.67,8.67,NA,0.09,NA,0.14,0,NA
"19","ACE","EIN","T6","3","Mid","Southeast","Riverine","Microtidal","Polyhaline",-2.51,2.51,2.51,NA,0.03,NA,0,0,0
"20","ACE","EIN","T6","4","Mid","Southeast","Riverine","Microtidal","Polyhaline",-2.93,2.93,2.93,NA,0.03,NA,0,0,0
