"","Reserve","SiteID","Year","Vegetation_Zone","Region","Geomorphology","tidal_range","salinity","abiotic_cover","live_cover","halophyte","freshwater","EIR","invasive_cover","Richness","SWdiv","salt_ratio"
"1","ACE","EIN",2012,"Low","Southeast","Riverine","Microtidal","Polyhaline",70.42,29.58,29.58,0,0.29,0,1.17,0.11,1
"2","ACE","EIN",2012,"Mid","Southeast","Riverine","Microtidal","Polyhaline",73.62,26.38,26.38,0,0.26,0,1.06,0.04,0.94
"3","ACE","EIN",2013,"Low","Southeast","Riverine","Microtidal","Polyhaline",31.49,68.51,68.51,0,0.66,0,1.17,0.09,1
"4","ACE","EIN",2013,"Mid","Southeast","Riverine","Microtidal","Polyhaline",51.78,48.22,48.22,0,0.48,0,1.11,0.08,0.89
"5","ACE","EIN",2014,"Low","Southeast","Riverine","Microtidal","Polyhaline",49.58,50.42,50.42,0,0.48,0,1.17,0.08,1
"6","ACE","EIN",2014,"Mid","Southeast","Riverine","Microtidal","Polyhaline",64.15,35.85,35.85,0,0.36,0,1,0.07,0.83
"7","ACE","EIN",2017,"Low","Southeast","Riverine","Microtidal","Polyhaline",36.14,63.86,63.86,0,0.64,0,1,0,1
"8","ACE","EIN",2017,"Mid","Southeast","Riverine","Microtidal","Polyhaline",50.68,49.32,49.32,0,0.49,0,1.24,0.11,0.94
"9","ACE","EIN",2018,"Low","Southeast","Riverine","Microtidal","Polyhaline",38.23,61.77,61.77,0,0.62,0,1,0,1
"10","ACE","EIN",2018,"Mid","Southeast","Riverine","Microtidal","Polyhaline",64.15,35.84,35.84,0,0.36,0,1.11,0.07,1
"11","ACE","EIN",2019,"Low","Southeast","Riverine","Microtidal","Polyhaline",57.36,42.64,42.64,0,0.43,0,0.83,0,0.83
"12","ACE","EIN",2019,"Mid","Southeast","Riverine","Microtidal","Polyhaline",58.22,41.78,41.78,0,0.42,0,1.11,0.08,1
"13","ACE","EIS",2012,"Low","Southeast","Riverine","Microtidal","Polyhaline",90.7,9.3,9.3,0,0.07,0,2,0.54,1
"14","ACE","EIS",2012,"Mid","Southeast","Riverine","Microtidal","Polyhaline",81.21,18.79,18.79,0,0.19,0,0.9,0.08,0.75
"15","ACE","EIS",2013,"Low","Southeast","Riverine","Microtidal","Polyhaline",79.69,20.31,20.31,0,0.2,0,1,0,1
"16","ACE","EIS",2013,"Mid","Southeast","Riverine","Microtidal","Polyhaline",61.49,38.51,38.51,0,0.39,0,0.9,0.05,0.8
"17","ACE","EIS",2014,"Low","Southeast","Riverine","Microtidal","Polyhaline",87.46,12.54,12.54,0,0.12,0,2,0.22,1
"18","ACE","EIS",2014,"Mid","Southeast","Riverine","Microtidal","Polyhaline",73.03,26.97,26.97,0,0.27,0,1.05,0.1,0.89
"19","ACE","EIS",2017,"Low","Southeast","Riverine","Microtidal","Polyhaline",46.23,53.77,53.77,0,0.5,0,2,0.25,1
"20","ACE","EIS",2017,"Mid","Southeast","Riverine","Microtidal","Polyhaline",55.32,44.68,44.68,0,0.45,0,1.2,0.08,0.95
"21","ACE","EIS",2018,"Mid","Southeast","Riverine","Microtidal","Polyhaline",54.73,45.27,45.27,0,0.45,0,1.21,0.11,0.95
"22","ACE","EIS",2019,"Low","Southeast","Riverine","Microtidal","Polyhaline",100,0,0,0,0,0,0,0,0
"23","ACE","EIS",2019,"Mid","Southeast","Riverine","Microtidal","Polyhaline",57.42,42.58,42.58,0,0.43,0,1.37,0.14,0.95
"24","APA","PC",2014,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",14.93,85.07,30.04,10.84,0.15,0,2.75,0.48,0.82
"25","APA","PC",2014,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",20.65,79.35,4.1,1,0.08,0,3.8,0.34,0.99
"26","APA","PC",2014,"Up","Gulf Coast","Bay Front","Microtidal","Polyhaline",12.74,87.24,74.5,0,0,0,4,0.43,1
"27","APA","PC",2015,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",17.25,82.75,37.09,6.88,0.17,0,2.62,0.43,0.92
"28","APA","PC",2015,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",12.04,87.96,9.25,0,0.11,0,3.7,0.31,0.99
"29","APA","PC",2015,"Up","Gulf Coast","Bay Front","Microtidal","Polyhaline",22.3,77.7,62.7,0,0,0,4,0.51,1
"30","APA","PC",2016,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",20.78,79.22,38.88,1.54,0.21,0,2.52,0.31,0.94
"31","APA","PC",2016,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",12.33,87.67,6.76,0,0.05,0,3.7,0.34,0.99
"32","APA","PC",2016,"Up","Gulf Coast","Bay Front","Microtidal","Polyhaline",22.4,77.6,40.1,0,0,0,3,0.7,1
"33","APA","PC",2017,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",19.72,80.29,35.71,7.27,0.2,0,2.14,0.27,0.87
"34","APA","PC",2017,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",18.39,81.61,3.76,0,0.06,0,3.6,0.22,0.96
"35","APA","PC",2017,"Up","Gulf Coast","Bay Front","Microtidal","Polyhaline",14.97,85.03,42.61,0,0,0,4,0.52,1
"36","APA","PC",2018,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",14.96,85.04,29.92,0,0.15,0,2.48,0.38,0.99
"37","APA","PC",2018,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",14.23,85.77,8.41,0,0.05,0,3.4,0.31,0.93
"38","APA","PC",2018,"Up","Gulf Coast","Bay Front","Microtidal","Polyhaline",12.48,87.53,40.12,0,0,0,4,0.63,1
"39","APA","PC",2019,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",26,74.01,28.46,0,0.2,0,2.61,0.39,0.98
"40","APA","PC",2019,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",23.96,76.04,6.53,0,0.09,0,3.5,0.4,0.99
"41","APA","PC",2019,"Up","Gulf Coast","Bay Front","Microtidal","Polyhaline",14.97,85.03,15.17,0,0,0,4,0.47,1
"42","APA","PC",2020,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",27.82,72.18,40.14,0,0.28,0,2.5,0.44,0.95
"43","APA","PC",2020,"Mid","Gulf Coast","Bay Front","Microtidal","Polyhaline",21.93,78.07,9.95,0,0.11,0,3.57,0.44,0.99
"44","APA","PC",2020,"Up","Gulf Coast","Bay Front","Microtidal","Polyhaline",9.09,90.92,35.52,0,0,0,3,0.55,1
"45","CBM","MB",2010,"Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",63.56,36.44,32.91,0,0.01,2.23,3.04,0.63,1
"46","CBM","MB",2010,"Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",51.27,48.73,42.28,0,0.19,5.53,3.7,0.85,1
"47","CBM","MB",2011,"Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",79.53,20.47,18.34,0,0.36,1.94,2.89,0.57,1
"48","CBM","MB",2011,"Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",75.88,24.12,21.4,0,0.43,2.52,4.5,0.94,1
"49","CBM","MB",2015,"Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",63.94,36.06,30.61,0,0.22,2.63,3.12,0.72,1
"50","CBM","MB",2015,"Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",66.61,33.39,26.02,0,0.45,3.89,3.57,0.7,1
"51","CBM","MB",2017,"Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",58.46,41.54,38.93,0,0.12,1.27,3,0.54,1
"52","CBM","MB",2017,"Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",28.23,71.77,54.11,0,0.42,13.96,3,0.52,1
"53","CBM","MB",2019,"Low","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",51.3,48.7,39.99,0,0.05,3.04,4.21,0.94,1
"54","CBM","MB",2019,"Mid","Mid-Atlantic","Bay Front","Microtidal","Mesohaline",56.88,43.13,29.42,0,0.61,5.2,3.67,0.86,1
"55","CBM","OPC",2008,"Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",67,33,0,32.83,0.01,0.98,3.41,0.79,0
"56","CBM","OPC",2008,"Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",60.67,39.33,0,36.85,0.05,0.45,6,1.27,0.02
"57","CBM","OPC",2009,"Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",70.7,29.3,0,28.65,0.03,2.73,3.37,0.82,0.02
"58","CBM","OPC",2009,"Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",66.81,33.19,0,31.09,0.05,0.13,6.34,1.33,0.03
"59","CBM","OPC",2011,"Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",68.41,31.59,0,31.16,0.09,9.37,3.78,0.95,0.01
"60","CBM","OPC",2011,"Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",73,27,0,25.06,0.04,0.39,5.89,1.24,0.05
"61","CBM","OPC",2012,"Low","Mid-Atlantic","Riverine","Microtidal","Oligohaline",47.62,52.38,0,51.5,0.02,1.88,3.64,0.78,0.01
"62","CBM","OPC",2012,"Mid","Mid-Atlantic","Riverine","Microtidal","Oligohaline",40.33,59.67,0,55.27,0.1,0.2,6.65,1.35,0.04
