"","Reserve","SiteID","TransectID","PlotID","Vegetation_Zone","Year","abiotic_cover","live_cover","halophyte","freshwater","EIR","invasive_cover","Richness","SWdiv","salt_ratio","Region","Geomorphology","tidal_range","salinity"
"1","ACE","EIN","T4","1","Mid",2012,86.75,13.25,13.25,NA,0.1325,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"2","ACE","EIN","T4","2","Mid",2012,16.02,83.97,83.97,NA,0.83978,NA,2,0.509605937,1,"Southeast","Riverine","Microtidal","Polyhaline"
"3","ACE","EIN","T4","3","Mid",2012,97.64,2.36,2.36,NA,0.0236,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"4","ACE","EIN","T4","4","Mid",2012,59.19,40.81,40.81,NA,0.4081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"5","ACE","EIN","T4","5","Mid",2012,61.13,38.87,38.87,NA,0.3887,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"6","ACE","EIN","T4","6","Mid",2012,73.47,26.53,26.53,NA,0.2653,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"7","ACE","EIN","T4","7","Low",2012,61.13,38.87,38.87,NA,0.3887,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"8","ACE","EIN","T4","8","Low",2012,59.19,40.81,40.81,NA,0.4081,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"9","ACE","EIN","T5","1","Mid",2012,88.07,11.93,11.93,NA,0.1193,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"10","ACE","EIN","T5","2","Mid",2012,42.74,57.26,57.26,NA,0.5726,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"11","ACE","EIN","T5","3","Mid",2012,70.73,29.28,29.28,NA,0.29277,NA,2,0.241127848,1,"Southeast","Riverine","Microtidal","Polyhaline"
"12","ACE","EIN","T5","4","Mid",2012,88.07,11.93,11.93,NA,0.1193,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"13","ACE","EIN","T5","5","Mid",2012,88.07,11.93,11.93,NA,0.1193,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"14","ACE","EIN","T5","6","Mid",2012,82.6,17.4,17.4,NA,0.174,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"15","ACE","EIN","T5","7","Low",2012,64.86,35.14,35.14,NA,0.3514,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"16","ACE","EIN","T5","8","Low",2012,84.01,15.99,15.99,NA,0.1599,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"17","ACE","EIN","T6","1","Mid",2012,84.01,15.99,15.99,NA,0.1599,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"18","ACE","EIN","T6","2","Mid",2012,100,0,0,NA,0,NA,0,0,NA,"Southeast","Riverine","Microtidal","Polyhaline"
"19","ACE","EIN","T6","3","Mid",2012,22.72,77.28,77.28,NA,0.7728,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"20","ACE","EIN","T6","4","Mid",2012,85.39,14.61,14.61,NA,0.1461,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"21","ACE","EIN","T6","5","Mid",2012,93.12,6.88,6.88,NA,0.0688,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
"22","ACE","EIN","T6","6","Mid",2012,85.39,14.61,14.61,NA,0.1461,NA,1,0,1,"Southeast","Riverine","Microtidal","Polyhaline"
