"","Reserve","SiteID","abiotic_cover","live_cover","halophyte","freshwater","EIR_slope","invasive_cover","Richness_slope","SWdiv_slope","salt_ratio","Region","Geomorphology","tidal_range","salinity","SLR_last19yrs","NERRs_Landscape_resiliency_condition_sum_quantile"
"1","ACE","EIN",-0.890631589,0.8907428,0.8907428,NA,0.009589841,NA,-0.003177472,-0.001573396,-2.78e-17,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"2","ACE","EIS",-2.793771433,2.793799875,2.793799875,NA,0.027933191,NA,0.050249333,0.005208077,-1.96e-17,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"3","APA","PC",3.454368682,-3.454222763,-1.193301841,-0.760614025,0.026513564,0,-0.109516737,-0.008174827,0.01036622,"Gulf Coast","Bay Front","Microtidal","Polyhaline",9.11,9
"4","CBM","MB",-1.905302916,1.905297192,1.382775613,NA,0.002303994,0.110908042,0.059616832,0.01568046,-0.00019495,"Mid-Atlantic","Bay Front","Microtidal","Mesohaline",5.93,7
"5","CBM","OPC",-2.760765014,2.760534597,NA,2.601595883,0.00820628,0.588866902,0.070840252,0.013608184,0.001539219,"Mid-Atlantic","Riverine","Microtidal","Oligohaline",5.93,7
"6","DEL","SJR",1.938599759,-1.938599596,-0.790761558,NA,0.010013044,-1.263506742,-0.061228557,-0.023187654,0,"Mid-Atlantic","Riverine","Microtidal","Mesohaline",6.26,5
"7","ELK","Upper",1.714282793,-1.714244609,0.415265042,NA,0.009700792,NA,0.003896927,0.010940858,0.008757573,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"8","ELK","Lower",0.033030272,-0.03299156,0,NA,0.002642095,NA,-0.006969963,-0.002165436,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"9","GND","spalt",6.223981531,-6.223981531,0,0,0.058677446,0,0.049290294,0.024267327,0.008783986,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.98,10
"10","GND","juro low",8.20403933,-8.20403933,0,0,0.081109337,0,0.053173555,0.013898804,-0.020342585,"Gulf Coast","Bay Front","Microtidal","Mesohaline",10.98,10
"11","GND","juro high",6.442994444,-6.442994444,-0.024579061,0.098211871,0.06486683,0.034835098,0.38490314,0.129886083,-0.014209719,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"12","GND","juro mid",5.364629524,-5.364629524,0.100573995,-0.161778537,0.045312989,0.035200586,0.203104623,0.064346317,-0.014369261,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"13","GND","clmaj",-1.515456191,1.515456191,0,-3.288106286,0,-0.186772408,0.849290399,0.23154136,0.05234495,"Gulf Coast","Riverine","Microtidal","Oligohaline",10.98,10
"14","GRB","SP",-0.255005449,0.255082578,0.050274247,-0.199651528,0.015542876,-0.072650719,-0.019940469,-0.005460114,0.002768395,"Northeast","Bay Front","Mesotidal","Polyhaline",3.62,5
"15","GRB","GBF",0.100190175,-0.100107829,0.072368094,-0.211312373,0.008621039,-0.002399585,-0.049411992,-0.015470462,0.000576994,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"16","GRB","BC",0.983245283,-0.983240751,-0.467316496,-0.298324401,0.012859405,0.001903148,-0.062519142,-0.013393782,0.002387037,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"17","GTM","22",-0.554090045,0.554090045,0.554090045,0,-0.0055409,0,0.040415592,0.02826222,3.01e-18,"Southeast","Riverine","Microtidal","Oligohaline",8.25,5
"18","GTM","0",0.21270789,-0.21270789,-0.21270789,0,0.002127079,0,-0.030330968,0.004129448,-4.34e-17,"Southeast","Back Barrier","Microtidal","Oligohaline",8.25,5
"19","GTM","40",-1.316911533,1.316911533,1.316911533,0,-0.013169115,0,-0.027111386,-3.64e-05,-1.93e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,7
"20","GTM","1",0.635281724,-0.635324079,-0.635324079,0,0.0063529,0,0.111921862,0.055749666,-6.56e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,5
"21","GTM","46",1.355397859,-1.355389628,-1.850140814,0,0.013553979,0,-0.093414716,-0.012372329,-3.74e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,9
"22","JAC","Central Segment",-1.684925041,1.685031888,1.685031888,NA,-0.016596962,0,-0.011426775,-0.009134672,0,"Mid-Atlantic","Bay Front","Microtidal","Oligohaline",5.55,5
"23","JAC","South Segment",-0.520899664,0.520953062,0.520953062,NA,-0.003793833,0,-0.005994859,-0.00715082,-1.95e-18,"Mid-Atlantic","Bay Front","Microtidal","Oligohaline",5.55,5
"24","KAC","FR",-1.078621703,1.078601378,0.780695274,0.104624424,-7.52e-05,NA,0.06655917,0.014230579,-0.001758177,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"25","KAC","BS",-1.021905524,1.02181078,1.111220039,0.180817879,0.002572186,NA,0.099958268,0.033976043,-0.001376656,"West Coast","Back Barrier","Macrotidal","Oligohaline",-7.87,NA
"26","KAC","CP",-0.156338221,0.156329034,0.199777992,-0.00778324,0.001946059,NA,-0.062073163,-0.005121014,0.000162937,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"27","KAC","SC",-0.586028883,0.586112763,1.040723248,0,0.008024522,NA,0.01986998,-0.006566297,0.002026087,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"28","MAR","MI-W",0.286434759,-0.286642924,-0.294783385,NA,-0.020220126,NA,-0.108790356,-0.033854645,2.94e-05,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.66,7
