"","Reserve","SiteID","Vegetation_Zone","abiotic_cover","live_cover","halophyte","freshwater","EIR_slope","invasive_cover","Richness_slope","SWdiv_slope","salt_ratio","Region","Geomorphology","tidal_range","salinity","SLR_last19yrs","NERRs_Landscape_resiliency_condition_sum_quantile"
"1","ACE","EIN","Mid",-0.93047191,0.930573992,0.930573992,NA,0.009304924,NA,0.012364314,0.003808824,-2.45e-17,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"2","ACE","EIN","Low",-0.771110626,0.771249225,0.771249225,NA,0.010444593,NA,-0.049802828,-0.017720056,-3.77e-17,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"3","ACE","EIS","Mid",-2.895524171,2.895554035,2.895554035,NA,0.028955331,NA,0.061502024,0.007392302,-2.07e-17,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"4","ACE","EIS","Low",-0.758716681,0.758716681,0.758716681,NA,0.007490375,NA,-0.174804495,-0.038476428,0,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"5","APA","PC","Low",6.320885944,-6.320944702,-2.574714076,-1.693812601,0.059555584,0,-0.184088824,-0.042356815,0.022950702,"Gulf Coast","Bay Front","Microtidal","Polyhaline",9.11,9
"6","APA","PC","Mid",1.50994296,-1.509788323,0.344986768,-0.064762766,0.001854594,0,-0.052977695,0.018802562,0.000989715,"Gulf Coast","Bay Front","Microtidal","Polyhaline",9.11,9
"7","APA","PC","Up",-1.777452631,1.779923916,-7.690684151,0,-0.000106111,0,-0.062737337,-0.002651807,0,"Gulf Coast","Bay Front","Microtidal","Polyhaline",9.11,9
"8","CBM","MB","Low",-2.088086721,2.088076003,1.634521621,NA,-0.006007671,0.086028612,0.089454804,0.023997817,-0.000250331,"Mid-Atlantic","Bay Front","Microtidal","Mesohaline",5.93,7
"9","CBM","MB","Mid",-1.31125555,1.311266055,0.564601087,NA,0.029316906,0.191766189,-0.037356578,-0.01135095,-1.5e-05,"Mid-Atlantic","Bay Front","Microtidal","Mesohaline",5.93,7
"10","CBM","OPC","Low",-3.345504262,3.345656965,NA,3.148300846,0.01262293,1.262317157,0.055115122,0.011484059,0.001489815,"Mid-Atlantic","Riverine","Microtidal","Oligohaline",5.93,7
"11","CBM","OPC","Mid",-2.431849188,2.431403265,NA,2.29407434,0.005721914,0.210051134,0.079685638,0.014803004,0.001567009,"Mid-Atlantic","Riverine","Microtidal","Oligohaline",5.93,7
"12","DEL","SJR","Up",2.234170533,-2.234170533,0,NA,0,0,-0.397060261,-0.134791757,NA,"Mid-Atlantic","Riverine","Microtidal","Mesohaline",6.26,5
"13","DEL","SJR","Low",2.290942237,-2.290942237,-2.290942237,NA,0.022909422,0,-0.055731396,-0.021346658,0,"Mid-Atlantic","Riverine","Microtidal","Mesohaline",6.26,5
"14","DEL","SJR","Mid",1.790299254,-1.790299021,-0.256919469,NA,0.00557695,-1.805009632,-0.047330727,-0.018574504,0,"Mid-Atlantic","Riverine","Microtidal","Mesohaline",6.26,5
"15","ELK","Upper","Up",9.110414079,-9.111116297,4.152650418,NA,0.026322309,NA,-0.108055221,-0.029974156,0.083196945,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"16","ELK","Upper","Low",1.070988513,-1.070843972,0,NA,0.009424748,NA,0.019603265,0.018584365,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"17","ELK","Lower","Up",0,0.000387121,0,NA,0.023117921,NA,-0.069699633,-0.021654361,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"18","ELK","Lower","Low",0.036700302,-0.036700302,0,NA,0.000367003,NA,0,0,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"19","ELK","Upper","Mid",0,-6.91e-15,0,NA,0,NA,0,0,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"20","GND","spalt","Low",4.355388946,-4.355388946,0,0,0.043553889,0,0.020267209,0.019932208,0.024152208,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.98,10
"21","GND","spalt","Mid",8.941934382,-8.941934382,0,0,0.080675347,0,0.091505691,0.030572954,-0.013569791,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.98,10
"22","GND","juro low","Low",6.179287569,-6.179287569,0,0,0.061792876,0,0.081210648,0.056062016,-0.076081094,"Gulf Coast","Bay Front","Microtidal","Mesohaline",10.98,10
"23","GND","juro low","Mid",8.622953488,-8.622953488,0,0,0.085105846,0,0.047372777,0.005175381,-0.00881048,"Gulf Coast","Bay Front","Microtidal","Mesohaline",10.98,10
"24","GND","juro high","Mid",7.123014328,-7.123014328,-0.072642718,0.08884162,0.071531939,0.034730957,0.388122246,0.132748284,-0.014911408,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"25","GND","juro high","Low",-0.017194452,0.017194452,0.432025682,0.187229258,0.001548291,0.035824435,0.354321627,0.102695167,-0.007543682,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"26","GND","juro mid","Mid",5.610763879,-5.610763879,0.014517054,0.413003724,0.056107639,0.026292747,0.142618454,0.053179401,-0.015598636,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"27","GND","juro mid","Low",0.028185783,-0.028185783,1.052374715,0,-0.010133167,0.074385732,0.304711097,0.035690479,-0.001750253,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"28","GND","juro mid","Up",7.911550577,-7.911550577,0.12408527,-6.837756032,-0.021580214,0.09697095,0.787008068,0.219560527,-0.01305536,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"29","GND","clmaj","Up",-1.515456191,1.515456191,0,-3.288106286,0,-0.186772408,0.849290399,0.23154136,0.05234495,"Gulf Coast","Riverine","Microtidal","Oligohaline",10.98,10
"30","GRB","SP","Low",2.119340079,-2.119360558,-3.274921847,0,0.034138737,0,0.031736603,0.00910688,-2.69e-05,"Northeast","Bay Front","Mesotidal","Polyhaline",3.62,5
"31","GRB","SP","Mid",-0.656046629,0.656109562,0.605068106,-0.04505356,0.0118648,-0.048720572,-0.026328168,-0.009026911,-0.00022189,"Northeast","Bay Front","Mesotidal","Polyhaline",3.62,5
"32","GRB","SP","Up",-0.423624489,0.4238773,0.324104117,-1.249591882,0.017176436,-0.276917247,-0.036485197,-0.000409723,0.022010257,"Northeast","Bay Front","Mesotidal","Polyhaline",3.62,5
"33","GRB","GBF","Low",0.455430199,-0.455394069,-0.320956193,-0.035490495,-0.00450111,0,-0.057845382,-0.009905049,0.00114824,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"34","GRB","GBF","Mid",0.062654531,-0.062579773,0.166933565,-0.071710725,0.013266186,-0.002896451,-0.056078438,-0.017992081,0.000370856,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"35","GRB","GBF","Up",-0.086139453,0.086302164,0.04014776,-1.015341671,0.000840027,-0.002563272,-0.010979596,-0.009688591,0.000899012,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"36","GRB","BC","Low",0.559262354,-0.559227558,-0.615425546,0,0.008690457,0,0.041467339,0.006436408,-2.3e-17,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"37","GRB","BC","Mid",1.173411466,-1.17342204,-0.746551031,-0.030484325,0.016051872,0,-0.08448238,-0.021050302,0.000449547,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"38","GRB","BC","Up",1.246162404,-1.246173065,0.431079168,-1.420491916,0.01235856,0.009515742,-0.184582388,-0.028578888,0.010886244,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"39","GTM","22","Low",-0.554090045,0.554090045,0.554090045,0,-0.0055409,0,0.040415592,0.02826222,3.01e-18,"Southeast","Riverine","Microtidal","Oligohaline",8.25,5
"40","GTM","0","Low",0.21270789,-0.21270789,-0.21270789,0,0.002127079,0,-0.030330968,0.004129448,-4.34e-17,"Southeast","Back Barrier","Microtidal","Oligohaline",8.25,5
"41","GTM","40","Low",-1.316911533,1.316911533,1.316911533,0,-0.013169115,0,-0.027111386,-3.64e-05,-1.93e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,7
"42","GTM","1","Low",0.635281724,-0.635324079,-0.635324079,0,0.0063529,0,0.111921862,0.055749666,-6.56e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,5
"43","GTM","46","Low",1.355397859,-1.355389628,-1.850140814,0,0.013553979,0,-0.093414716,-0.012372329,-3.74e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,9
"44","JAC","Central Segment","Low",-1.684925041,1.685031888,1.685031888,NA,-0.016596962,0,-0.011426775,-0.009134672,0,"Mid-Atlantic","Bay Front","Microtidal","Oligohaline",5.55,5
"45","JAC","South Segment","Low",-0.520899664,0.520953062,0.520953062,NA,-0.003793833,0,-0.005994859,-0.00715082,-1.95e-18,"Mid-Atlantic","Bay Front","Microtidal","Oligohaline",5.55,5
"46","KAC","FR","Mid",-0.904241785,0.90421665,0.73270588,-0.006877756,-0.001356088,NA,0.056393361,0.013229527,-0.001111968,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"47","KAC","FR","Low",-1.594599513,1.594742003,1.060322848,0.071381896,0.00456466,NA,0.053093607,0.012873623,-0.001733234,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
