Reserve,SiteID,Total.unvegetated_slope,Bare_slope,Total.live.veg_slope,H.Halophyte_slope,EIR_slope,Richness_slope,SWdiv_slope,Salt_to_Total_slope,Spartina.alterniflora_slope,Juncus.roemerianus_slope,Wrack_slope,Other.Unvegetated_slope,B.Brackish_slope,F.Freshwater_slope,U.Upland_slope,Invasive_Cover_slope,Spartina.patens_slope,Dead_slope,Other.live.vegetation_slope,Water_slope,Salicornia.pacifica_slope,Rock_slope,Wood_slope,A.Algae_slope,tide_range_slope,temp_avg_slope,precip_sum_slope,Geomorphology,Tidal_Range,Salinity_category,SLR_since_1970,SLR_last19yrs,Latitude,NERR_Region,Region,NERRS_MARS,NERRs_Landscape_resiliency_condition_sum_quantile,NERRs_Landscape_resiliency_vulnerability_sum_quantile,NERRs_Landscape_UnvegVegEdge_ratio,NERRs_Landscape_Core_edge_ratio,NERRs_Landscape_%_Natural,NERRs_Landscape_tidal_range,NERRs_Landscape_Pct_MUC_below_MHHW,Criteria_for_site_not_met,SET_change,SET_minus_SLR_1970,SET_minus_SLR_19yrs,proportion_low,proportion_midToHigh,proportion_uplandOrFresh,siteAvg_distance_to_water,siteAvg_orthometric_height
ACE,EIN,-0.890631589,-0.890631589,0.8907428,0.8907428,0.009589841,-0.003177472,-0.001573396,-2.78E-17,1.236473298,-0.277424517,,,,,,,,,,,,,,,0.002333333,0.082982456,0.368947368,Riverine,Microtidal,Polyhaline,4.06,10.79,32.505441,Southeast,NA25,2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,6.41,-0.32,0.25,0.75,0,50.125,0.645190476
ACE,EIS,-2.793771433,-2.793771433,2.793799875,2.793799875,0.027933191,0.050249333,0.005208077,-1.96E-17,2.288299354,0,,,,,,,,,,,,,,,0.002333333,0.082982456,0.368947368,Riverine,Microtidal,Polyhaline,4.06,10.79,32.500047,Southeast,NA25,2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,2.87,-3.86,0.047619048,0.952380952,0,35.14285714,0.831894737
APA,PC,3.454368682,,-3.454222763,-1.193301841,0.026513564,-0.109516737,-0.008174827,0.01036622,-0.26357603,-0.235735754,0.156553951,3.297814731,-1.496163538,-0.760614025,-0.004143358,0,-1.761652811,,,,,,,,-0.000298246,0.062631579,0.036842105,Bay Front,Microtidal,Polyhaline,2.91,9.11,29.59641,Gulf Coast,NA25,,9,-3,0.96,1.02,87.15,0.53,0.26,,5.02,2.11,-4.09,0.428571429,0.535714286,0.035714286,,
CBM,MB,-1.905302916,0.012231659,1.905297192,1.382775613,0.002303994,0.059616832,0.01568046,-0.00019495,1.045074402,0.210875802,,-2.082266808,0.51308633,,,0.110908042,-0.129140549,0.164732233,0.009435249,,,,,,-0.000185759,0.002432749,0.007245614,Bay Front,Microtidal,Mesohaline,5.01,5.93,38.231501,Mid-Atlantic,NA25,1.79,7,-2,1.51,2.03,66.7,0.74,0.19,,3.39,-1.62,-2.54,0.72972973,0.27027027,0,52.16216216,
CBM,OPC,-2.760765014,-0.369622711,2.760534597,,0.00820628,0.070840252,0.013608184,0.001539219,,,,-2.157364407,0.098653366,2.601595883,0.007513923,0.588866902,,1.063420157,0.052771426,-1.297198054,,,,,-0.000185759,0.002432749,0.007245614,Riverine,Microtidal,Oligohaline,5.01,5.93,39.439123,Mid-Atlantic,NA25,1.79,7,-10,1.13,0.52,83.55,0.55,0.51,,,,,0.36,0.64,0,29.26666667,
DEL,SJR,1.938599759,,-1.938599596,-0.790761558,0.010013044,-0.061228557,-0.023187654,0,-0.1589385,,,1.938599759,-1.073365687,,-0.074472351,-1.263506742,-0.4285963,,,,,,,,0.000473684,-0.144003391,-0.0585,Riverine,Microtidal,Mesohaline,4.3,6.26,39.08299,Mid-Atlantic,NA25,2.93,5,-2,0.99,2.28,42.96,1.77,0.51,,4.75,0.45,-1.51,0.266666667,0.7,0.033333333,,
ELK,Upper,1.714282793,1.617897535,-1.714244609,0.415265042,0.009700792,0.003896927,0.010940858,0.008757573,,,0.096385257,0,,,-2.129509651,,,,,,-1.363776431,,,,-0.003719298,0.108903509,-0.006640351,Riverine,Mesotidal,Polyhaline,1.62,3.65,36.849702,West Coast,NA15,2.46,2,-4,2.31,0.79,41.04,1.61,0.09,,2.29,0.67,-1.36,0.75,0.15,0.1,70.1925,1.66226875
ELK,Lower,0.033030272,0.033030272,-0.03299156,0,0.002642095,-0.006969963,-0.002165436,0,,,0,0,,,-0.03299156,,,,,,0.198152808,,,,-0.003719298,0.108903509,-0.006640351,Riverine,Mesotidal,Polyhaline,1.62,3.65,36.810744,West Coast,NA15,2.46,2,-4,2.31,0.79,41.04,1.61,0.09,,2.05,0.43,-1.6,0.9,0.025,0.075,55.81975,1.55641625
GND,spalt,6.223981531,,-6.223981531,0,0.058677446,0.049290294,0.024267327,0.008783986,-2.815340504,-3.408641027,,6.223981531,-3.408641027,0,-2.815340504,0,0,,0,,,,,,-0.002368421,0.060099415,0.179751462,Bay Front,Microtidal,Polyhaline,4.36,10.98,30.361762,Gulf Coast,NA25,2.3,10,-7,3.34,4.46,65.57,0.46,0.16,,5.74,1.38,-5.24,0.592592593,0.407407407,0,82.62962963,0.173601111
GND,juro low,8.20403933,,-8.20403933,0,0.081109337,0.053173555,0.013898804,-0.020342585,0.204676643,-8.497522266,,8.20403933,-8.408715973,0,0.204676643,0,0,,0,,,,,,-0.002368421,0.060099415,0.179751462,Bay Front,Microtidal,Mesohaline,4.36,10.98,30.375463,Gulf Coast,NA25,2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,6.88,2.52,-4.1,0.171428571,0.828571429,0,82.57142857,0.202596
