Reserve,SiteID,Year,Vegetation_Zone,Region,Geomorphology,tidal_range,salinity,abiotic_cover,live_cover,halophyte,freshwater,EIR,invasive_cover,Richness,SWdiv,salt_ratio
ACE,EIN,2012,Low,Southeast,Riverine,Microtidal,Polyhaline,70.41666667,29.58166667,29.58166667,NA,0.289835,NA,1.166666667,0.109835088,1
ACE,EIN,2012,Mid,Southeast,Riverine,Microtidal,Polyhaline,73.61722222,26.38277778,26.38277778,NA,0.263830556,NA,1.055555556,0.041707433,1
ACE,EIN,2013,Low,Southeast,Riverine,Microtidal,Polyhaline,31.48666667,68.51333333,68.51333333,NA,0.66265,NA,1.166666667,0.090693137,1
ACE,EIN,2013,Mid,Southeast,Riverine,Microtidal,Polyhaline,51.78333333,48.21555556,48.21555556,NA,0.482162778,NA,1.111111111,0.075339189,1
ACE,EIN,2014,Low,Southeast,Riverine,Microtidal,Polyhaline,49.58166667,50.41833333,50.41833333,NA,0.480883333,NA,1.166666667,0.08218857,1
ACE,EIN,2014,Mid,Southeast,Riverine,Microtidal,Polyhaline,64.15388889,35.84611111,35.84611111,NA,0.358461111,NA,1,0.070308982,1
ACE,EIN,2017,Low,Southeast,Riverine,Microtidal,Polyhaline,36.13666667,63.86333333,63.86333333,NA,0.638633333,NA,1,0,1
ACE,EIN,2017,Mid,Southeast,Riverine,Microtidal,Polyhaline,50.67882353,49.32176471,49.32176471,NA,0.493215294,NA,1.235294118,0.108393608,1
ACE,EIN,2018,Low,Southeast,Riverine,Microtidal,Polyhaline,38.234,61.766,61.766,NA,0.61766,NA,1,0,1
ACE,EIN,2018,Mid,Southeast,Riverine,Microtidal,Polyhaline,64.15444444,35.845,35.845,NA,0.358454444,NA,1.111111111,0.072660753,1
ACE,EIN,2019,Low,Southeast,Riverine,Microtidal,Polyhaline,57.35666667,42.64333333,42.64333333,NA,0.426433333,NA,0.833333333,0,1
ACE,EIN,2019,Mid,Southeast,Riverine,Microtidal,Polyhaline,58.22111111,41.77944444,41.77944444,NA,0.417790556,NA,1.111111111,0.075381582,1
ACE,EIS,2012,Low,Southeast,Riverine,Microtidal,Polyhaline,90.7,9.3,9.3,NA,0.0719,NA,2,0.535480949,1
ACE,EIS,2012,Mid,Southeast,Riverine,Microtidal,Polyhaline,81.21,18.79,18.79,NA,0.1879,NA,0.9,0.079119846,1
ACE,EIS,2013,Low,Southeast,Riverine,Microtidal,Polyhaline,79.69,20.31,20.31,NA,0.2031,NA,1,0,1
ACE,EIS,2013,Mid,Southeast,Riverine,Microtidal,Polyhaline,61.4925,38.5075,38.5075,NA,0.385075,NA,0.9,0.048584542,1
ACE,EIS,2014,Low,Southeast,Riverine,Microtidal,Polyhaline,87.46,12.54,12.54,NA,0.1184,NA,2,0.215311596,1
ACE,EIS,2014,Mid,Southeast,Riverine,Microtidal,Polyhaline,73.03210526,26.96789474,26.96789474,NA,0.269678947,NA,1.052631579,0.103026459,1
ACE,EIS,2017,Low,Southeast,Riverine,Microtidal,Polyhaline,46.23,53.77,53.77,NA,0.5009,NA,2,0.249583978,1
ACE,EIS,2017,Mid,Southeast,Riverine,Microtidal,Polyhaline,55.3195,44.6805,44.6805,NA,0.446805,NA,1.2,0.084273274,1
ACE,EIS,2018,Mid,Southeast,Riverine,Microtidal,Polyhaline,54.72736842,45.27315789,45.27315789,NA,0.452727895,NA,1.210526316,0.112125982,1
ACE,EIS,2019,Low,Southeast,Riverine,Microtidal,Polyhaline,100,0,0,NA,0,NA,0,0,NA
ACE,EIS,2019,Mid,Southeast,Riverine,Microtidal,Polyhaline,57.42473684,42.57526316,42.57526316,NA,0.425752632,NA,1.368421053,0.138246683,1
APA,LSM,2014,Low,Gulf Coast,Riverine,Microtidal,Fresh,27.2,72.8,0,47.76666667,0.272,0,7.333333333,1.455956144,0.351517226
APA,LSM,2014,Mid,Gulf Coast,Riverine,Microtidal,Fresh,25.96666667,74.03444444,0,22.86555556,0.259666667,0,4,0.649533479,0.667486261
APA,LSM,2014,Up,Gulf Coast,Riverine,Microtidal,Fresh,7.833333333,92.17,0,5.008333333,0.871088333,0,3.166666667,0.166145723,0.942070733
APA,LSM,2015,Low,Gulf Coast,Riverine,Microtidal,Fresh,23.83333333,76.16666667,0,56.95,0.238333333,0,7.833333333,1.221014651,0.257779316
APA,LSM,2015,Mid,Gulf Coast,Riverine,Microtidal,Fresh,26.95,73.05,0,19.62222222,0.2695,0,5.444444444,0.629310442,0.686964806
APA,LSM,2015,Up,Gulf Coast,Riverine,Microtidal,Fresh,18.16666667,81.83333333,0,8.025,0.7085,0,3.666666667,0.362769545,0.865374325
APA,LSM,2016,Low,Gulf Coast,Riverine,Microtidal,Fresh,8.833333333,91.16666667,0,65.83333333,0.088333333,0,8.166666667,1.278186369,0.28667293
APA,LSM,2016,Mid,Gulf Coast,Riverine,Microtidal,Fresh,9.533333333,90.46666667,0,24.55722222,0.095333333,0,5.277777778,0.663212789,0.721699934
APA,LSM,2016,Up,Gulf Coast,Riverine,Microtidal,Fresh,7.4,92.60083333,0,15.46333333,0.7667,0,3.5,0.309837779,0.820059221
APA,LSM,2017,Low,Gulf Coast,Riverine,Microtidal,Fresh,8.95,91.05333333,0,56.86333333,0.0895,0,7.833333333,1.016267331,0.403162748
APA,LSM,2017,Mid,Gulf Coast,Riverine,Microtidal,Fresh,8.972222222,91.02833333,0,18.35166667,0.095277778,0,5.166666667,0.544658659,0.793584813
APA,LSM,2017,Up,Gulf Coast,Riverine,Microtidal,Fresh,2.139166667,97.86166667,0,11.8575,0.855825,0,3.25,0.210504729,0.870307084
APA,LSM,2018,Low,Gulf Coast,Riverine,Microtidal,Fresh,50.7,49.30666667,0,29.86666667,0.507,0,5.666666667,0.860225061,0.361942133
APA,LSM,2018,Mid,Gulf Coast,Riverine,Microtidal,Fresh,51,48.99666667,0,20.03111111,0.51,0,3.722222222,0.605941531,0.450889713
APA,LSM,2018,Up,Gulf Coast,Riverine,Microtidal,Fresh,51.56333333,48.4375,0,7.701666667,0.406934167,0,2.333333333,0.283723813,0.655254858
APA,LSM,2019,Low,Gulf Coast,Riverine,Microtidal,Fresh,56.78833333,43.21,0,40.62666667,0.567896667,0,4.333333333,0.625338635,0.052824677
APA,LSM,2019,Mid,Gulf Coast,Riverine,Microtidal,Fresh,76.88,23.12333333,0,22.51888889,0.768777778,1.683333333,3.055555556,0.379355229,0.025383597
APA,LSM,2019,Up,Gulf Coast,Riverine,Microtidal,Fresh,83.95583333,16.0425,0,14.31666667,0.017175,0,2.083333333,0.33516076,0.149289339
APA,LSM,2020,Low,Gulf Coast,Riverine,Microtidal,Fresh,19.725,80.27333333,0,74.97666667,0.197248333,0,8,1.184157514,0.04781216
APA,LSM,2020,Mid,Gulf Coast,Riverine,Microtidal,Fresh,20.55222222,79.44555556,0,72.66,0.205521111,24.06111111,7.166666667,0.992118185,0.042485686
APA,LSM,2020,Up,Gulf Coast,Riverine,Microtidal,Fresh,16.38,83.61916667,0,65.9425,0.094488333,6.51,6.666666667,0.969992756,0.099104882
APA,PC,2014,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,14.93333333,85.0675,30.0375,10.84166667,0.149333333,0,2.75,0.484823112,0.818641785
APA,PC,2014,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,20.64666667,79.354,4.1,1,0.083133333,0,3.8,0.341027372,0.986539767
APA,PC,2014,Up,Gulf Coast,Bay Front,Microtidal,Polyhaline,12.74,87.24,74.5,0,8.00E-04,0,4,0.430137785,1
APA,PC,2015,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,17.24583333,82.75416667,37.09166667,6.879166667,0.172458333,0,2.625,0.432349,0.917439991
APA,PC,2015,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,12.03633333,87.96433333,9.251,0.003333333,0.111396333,0,3.7,0.311062263,0.990262268
APA,PC,2015,Up,Gulf Coast,Bay Front,Microtidal,Polyhaline,22.3,77.7,62.7,0,0.001,0,4,0.509941063,1
APA,PC,2016,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,20.7826087,79.2173913,38.88391304,1.537826087,0.207826087,0,2.52173913,0.314882272,0.983499439
APA,PC,2016,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,12.32766667,87.67266667,6.76,0.003333333,0.053156667,0,3.7,0.337759832,0.994454254
APA,PC,2016,Up,Gulf Coast,Bay Front,Microtidal,Polyhaline,22.4,77.6,40.1,0,0.001,0,3,0.701013571,1
APA,PC,2017,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,19.71545455,80.28545455,35.71409091,7.272727273,0.197154545,0,2.136363636,0.274507532,0.907924425
APA,PC,2017,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,18.393,81.60766667,3.760666667,0.003333333,0.059913333,0,3.6,0.218008224,0.996181773
APA,PC,2017,Up,Gulf Coast,Bay Front,Microtidal,Polyhaline,14.97,85.03,42.615,0,0.001,0,4,0.52321697,1
APA,PC,2018,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,14.96190476,85.03809524,29.91904762,0,0.149619048,0,2.476190476,0.375619862,0.986651678
APA,PC,2018,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,14.22633333,85.77433333,8.413666667,0,0.046686667,0,3.4,0.307875767,0.994455582
APA,PC,2018,Up,Gulf Coast,Bay Front,Microtidal,Polyhaline,12.475,87.525,40.12,0,0.001,0,4,0.626695442,1
APA,PC,2019,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,25.995,74.00555556,28.46,0,0.204445556,0,2.611111111,0.394270776,0.979065834
APA,PC,2019,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,23.961,76.04033333,6.527,0,0.090662,0,3.5,0.39963541,0.993174684
APA,PC,2019,Up,Gulf Coast,Bay Front,Microtidal,Polyhaline,14.97,85.03,15.17,0,0.001,0,4,0.472759987,1
APA,PC,2020,Low,Gulf Coast,Bay Front,Microtidal,Polyhaline,27.82444444,72.17666667,40.13555556,0,0.278243889,0,2.5,0.435944487,0.951875704
APA,PC,2020,Mid,Gulf Coast,Bay Front,Microtidal,Polyhaline,21.933,78.06833333,9.951333333,0,0.110372667,0,3.566666667,0.442566964,0.994073103
APA,PC,2020,Up,Gulf Coast,Bay Front,Microtidal,Polyhaline,9.09,90.92,35.525,0,0,0,3,0.548938926,1
CBM,MB,2010,Low,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,63.56444444,36.43555556,32.90592593,NA,0.01174037,2.233703704,3.037037037,0.628800153,1
CBM,MB,2010,Mid,Mid-Atlantic,Bay Front,Microtidal,Mesohaline,51.274,48.726,42.282,NA,0.185074,5.528,3.7,0.854818958,1
