"Reserve","SiteID","TransectID","PlotID","Vegetation_Zone","Year","Month","Day","Date","Unique_ID","Years_sinceStart","Latitude","Longitude","Orthometric_Height","Distance_to_Water","Total unvegetated","Bare","Dead","Rock","Wood","Wrack","Water","Other Unvegetated","Total live veg","A-Algae","B-Brackish","F-Freshwater","H-Halophyte","U-Upland","Other live vegetation","EIR","Richness","SWdiv","Invasive_Cover","Unveg_to_veg","Salt_to_Total","Spartina alterniflora","Spartina patens","Juncus roemerianus","Salicornia pacifica","Overstory","NA","ResSite"
"ACE","EIN","T4","1","H-High Marsh",2012,10,26,2012.81693989071,"ACEEINT4120121026",0,32.50537,-80.3245,,84,86.75,86.75,,,,,,,13.25,,,,13.25,,,0.1325,1,0,,6.54716981132075,1,13.25,,0,,,,"ACE EIN"
"ACE","EIN","T4","2","H-High Marsh",2012,10,26,2012.81693989071,"ACEEINT4220121026",0,32.50532,-80.32459,0.635,74,16.02,16.02,,,,,,,83.97,,,,83.97,,,0.83978,2,0.50960593668343,,0.190782422293676,1,17.36,,66.61,,,,"ACE EIN"
"ACE","EIN","T4","3","H-High Marsh",2012,10,26,2012.81693989071,"ACEEINT4320121026",0,32.50526,-80.32468,0.545,63,97.64,97.64,,,,,,,2.36,,,,2.36,,,0.0236,1,0,,41.3728813559322,1,0,,2.36,,,,"ACE EIN"
"ACE","EIN","T4","4","T-Transition",2012,10,26,2012.81693989071,"ACEEINT4420121026",0,32.5052,-80.32476,0.521,53,59.19,59.19,,,,,,,40.81,,,,40.81,,,0.4081,1,0,,1.45037980887037,1,40.81,,0,,,,"ACE EIN"
"ACE","EIN","T4","5","T-Transition",2012,10,26,2012.81693989071,"ACEEINT4520121026",0,32.50515,-80.32485,0.523,43,61.13,61.13,,,,,,,38.87,,,,38.87,,,0.3887,1,0,,1.57267815796244,1,38.87,,0,,,,"ACE EIN"
"ACE","EIN","T4","6","T-Transition",2012,10,26,2012.81693989071,"ACEEINT4620121026",0,32.50509,-80.32495,0.595,31,73.47,73.47,,,,,,,26.53,,,,26.53,,,0.2653,1,0,,2.76931775348662,1,26.53,,0,,,,"ACE EIN"
"ACE","EIN","T4","7","L-Low Marsh",2012,10,26,2012.81693989071,"ACEEINT4720121026",0,32.50503,-80.32505,0.717,19,61.13,61.13,,,,,,,38.87,,,,38.87,,,0.3887,1,0,,1.57267815796244,1,38.87,,0,,,,"ACE EIN"
"ACE","EIN","T4","8","L-Low Marsh",2012,10,26,2012.81693989071,"ACEEINT4820121026",0,32.50495,-80.32517,0.765,5,59.19,59.19,,,,,,,40.81,,,,40.81,,,0.4081,1,0,,1.45037980887037,1,40.81,,0,,,,"ACE EIN"
"ACE","EIN","T5","1","H-High Marsh",2012,11,12,2012.86338797814,"ACEEINT5120121112",0.0464,32.5054008942,-80.3258319751,,91,88.07,88.07,,,,,,,11.93,,,,11.93,,,0.1193,1,0,,7.38222967309304,1,11.93,,0,,,,"ACE EIN"
"ACE","EIN","T5","2","H-High Marsh",2012,11,12,2012.86338797814,"ACEEINT5220121112",0.0464,32.50579,-80.32503,0.694,83,42.74,42.74,,,,,,,57.26,,,,57.26,,,0.5726,1,0,,0.746419839329375,1,0,,57.26,,,,"ACE EIN"
