"Reserve","SiteID","TransectID","PlotID","Vegetation_Zone","Total.unvegetated_slope","Bare_slope","Total.live.veg_slope","H.Halophyte_slope","EIR_slope","Richness_slope","SWdiv_slope","Salt_to_Total_slope","Spartina.alterniflora_slope","Juncus.roemerianus_slope","Wrack_slope","Other.Unvegetated_slope","B.Brackish_slope","F.Freshwater_slope","U.Upland_slope","Invasive_Cover_slope","Spartina.patens_slope","Dead_slope","Other.live.vegetation_slope","Water_slope","Salicornia.pacifica_slope","Rock_slope","Wood_slope","A.Algae_slope","tide_range_slope","temp_avg_slope","precip_sum_slope","Geomorphology","Tidal_Range","Salinity_category","SLR_since_1970","SLR_last19yrs","Latitude","NERR_Region","Region","NERRS_MARS","NERRs_Landscape_resiliency_condition_sum_quantile","NERRs_Landscape_resiliency_vulnerability_sum_quantile","NERRs_Landscape_UnvegVegEdge_ratio","NERRs_Landscape_Core_edge_ratio","NERRs_Landscape_%_Natural","NERRs_Landscape_tidal_range","NERRs_Landscape_Pct_MUC_below_MHHW","Criteria_for_site_not_met","SET_change","SET_deficit","proportion_low","proportion_midToHigh","proportion_uplandOrFresh","siteAvg_distance_to_water","siteAvg_orthometric_height","plotOrthometric_height","plotDistance_to_water"
"ACE-EIN","EIN","T4","1","Mid",0.559198444272281,0.559198444272281,-0.559198444272283,-0.559198444272283,-0.00559198444272283,0.0305334290266775,0,0,-0.559198444272283,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,,84
"ACE-EIN","EIN","T4","2","Mid",2.17633990121033,2.17633990121033,-2.17405485974551,-2.17405485974551,-0.0217586001271818,-9.07175230314121e-17,0.0227071092670352,-4.53587615157061e-17,2.25979545506657,-4.43385031481208,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.635,74
"ACE-EIN","EIN","T4","3","Mid",-6.74660406864915,-6.74660406864915,6.74660406864914,6.74660406864914,0.0674660406864914,0.0977004540807134,0.00825409969792103,5.84144323097143e-17,6.8720750228295,-0.125470954180363,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.545,63
"ACE-EIN","EIN","T4","4","Mid",2.10724121176641,2.10724121176641,-2.10724121176641,-2.10724121176641,-0.0210724121176641,-4.53587615157061e-17,0,-4.53587615157061e-17,-2.10724121176641,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.521,53
"ACE-EIN","EIN","T4","5","Mid",3.84506330666068,3.84506330666068,-3.84506330666069,-3.84506330666069,-0.0384506330666069,-4.53587615157061e-17,0,-4.53587615157061e-17,-3.84506330666069,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.523,43
"ACE-EIN","EIN","T4","6","Mid",1.77476093090678,1.77476093090678,-1.77476093090678,-1.77476093090678,-0.0177476093090678,-4.53587615157061e-17,0,-4.53587615157061e-17,-1.77476093090678,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.595,31
"ACE-EIN","EIN","T4","7","Low",1.79899041270733,1.79899041270733,-1.79899041270733,-1.79899041270733,-0.0179899041270733,-4.53587615157061e-17,0,-4.53587615157061e-17,-1.79899041270733,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.717,19
"ACE-EIN","EIN","T4","8","Low",-4.40765327442818,-4.40765327442818,4.40765327442817,4.40765327442817,0.0440765327442817,-4.53587615157061e-17,0,-4.53587615157061e-17,4.40765327442817,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.765,5
"ACE-EIN","EIN","T5","1","Mid",2.03099076334403,2.03099076334403,-2.03099076334403,-2.03099076334403,-0.0203099076334403,-0.0366641083911597,0,4.03362389875916e-17,-2.03099076334403,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,,91
"ACE-EIN","EIN","T5","2","Mid",-1.74254914061725,-1.74254914061725,1.74194842149303,1.74194842149303,0.017424289967924,0.0831430755530588,0.0796818890709854,-4.52211847414096e-17,4.9325566210425,-3.19060819954947,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,0.694,83
