"Reserve","SiteID","Total.unvegetated_slope","Bare_slope","Total.live.veg_slope","H.Halophyte_slope","EIR_slope","Richness_slope","SWdiv_slope","Salt_to_Total_slope","Spartina.alterniflora_slope","Juncus.roemerianus_slope","Wrack_slope","Other.Unvegetated_slope","B.Brackish_slope","F.Freshwater_slope","U.Upland_slope","Invasive_Cover_slope","Spartina.patens_slope","Dead_slope","Other.live.vegetation_slope","Water_slope","Salicornia.pacifica_slope","Rock_slope","Wood_slope","A.Algae_slope","tide_range_slope","temp_avg_slope","precip_sum_slope","Geomorphology","Tidal_Range","Salinity_category","SLR_since_1970","SLR_last19yrs","Latitude","NERR_Region","Region","NERRS_MARS","NERRs_Landscape_resiliency_condition_sum_quantile","NERRs_Landscape_resiliency_vulnerability_sum_quantile","NERRs_Landscape_UnvegVegEdge_ratio","NERRs_Landscape_Core_edge_ratio","NERRs_Landscape_%_Natural","NERRs_Landscape_tidal_range","NERRs_Landscape_Pct_MUC_below_MHHW","Criteria_for_site_not_met","SET_change","SET_deficit","proportion_low","proportion_midToHigh","proportion_uplandOrFresh","siteAvg_distance_to_water","siteAvg_orthometric_height"
"ACE-EIN","EIN",-0.890631588720571,-0.890631588720571,0.890742799896773,0.890742799896773,0.00958984107840097,-0.00317747177371212,-0.00157339606595599,-2.78376779658595e-17,1.23647329779177,-0.277424517415907,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476
"ACE-EIS","EIS",-2.79377143324483,-2.79377143324483,2.79379987491524,2.79379987491524,0.0279331905021572,0.0502493329280496,0.00520807713586119,-1.95797936139389e-17,2.28829935352607,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105
"APA-LSM","LSM",6.10317607476128,,-6.10343887555745,0,-0.0168786202313554,0.0153579323173419,0.0201681955982614,-0.126985272051505,0,-0.00620573657241769,0,6.10317607476128,-11.6230097529187,5.01832519702286,0.501245680338428,1.82734392527358,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,
"APA-PC","PC",3.45436868187349,,-3.4542227629259,-1.19330184089125,0.0265135643477342,-0.109516737427821,-0.00817482670817593,0.0103662196170893,-0.263576029609924,-0.235735754400793,0.156553950699767,3.29781473117372,-1.49616353840608,-0.760614025160752,-0.00414335846781765,0,-1.76165281054628,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Bay Front","Microtidal","Polyhaline",2.91,9.11,29.59641,"Gulf Coast","NA25",,9,-3,0.96,1.02,87.15,0.53,0.26,,5.02,-2.11,0.428571428571429,0.535714285714286,0.0357142857142857,,
"CBM-MB","MB",-1.90530291569611,0.0122316591273172,1.90529719165469,1.38277561284161,0.00230399375922409,0.059616832044635,0.0156804602796253,-0.000194950041078723,1.04507440169258,0.210875802272149,,-2.08226680774644,0.513086329665871,,,0.110908041870411,-0.12914054854978,0.164732232923014,0.00943524914721518,,,,,,-0.000185758513931888,0.00243274853801229,0.00724561403508632,"Bay Front","Microtidal","Mesohaline",5.01,5.93,38.231501,"Mid-Atlantic","NA25",1.79,7,-2,1.51,2.03,66.7,0.74,0.19,,3.39,1.62,0.72972972972973,0.27027027027027,0,52.1621621621622,
"CBM-OPC","OPC",-2.76076501436947,-0.369622710644896,2.76053459728362,,0.00820627998639545,0.0708402522506351,0.0136081839458935,0.00153921890218058,,,,-2.15736440652759,0.0986533661712579,2.60159588260584,0.00751392276183557,0.588866902230998,,1.06342015659853,0.0527714257446879,-1.2971980537955,,,,,-0.000185758513931888,0.00243274853801229,0.00724561403508632,"Riverine","Microtidal","Oligohaline",5.01,5.93,39.439123,"Mid-Atlantic","NA25",1.79,7,-10,1.13,0.52,83.55,0.55,0.51,,,,0.36,0.64,0,29.2666666666667,
"DEL-SJR","SJR",1.93859975868124,,-1.93859959568716,-0.790761557939079,0.0100130439587531,-0.0612285566265779,-0.0231876537689231,0,-0.158938499752428,,,1.93859975868124,-1.07336568665465,,-0.0744723510934325,-1.26350674242955,-0.428596300041232,,,,,,,,0.000473684210526258,-0.144003390830027,-0.0585000000000001,"Riverine","Microtidal","Mesohaline",4.3,6.26,39.08299,"Mid-Atlantic","NA25",2.93,5,-2,0.99,2.28,42.96,1.77,0.51,,4.75,-0.45,0.266666666666667,0.7,0.0333333333333333,,
"ELK","Upper",1.71428279284551,1.61789753541324,-1.71424460895374,0.415265041848799,0.00970079217117868,0.00389692671865173,0.0109408583432564,0.00875757310762238,,,0.0963852574322672,0,,,-2.12950965080254,,,,,,-1.36377643097121,,,,-0.00371929824561392,0.108903508771926,-0.0066403508771923,"Riverine","Mesotidal","Polyhaline",1.62,3.65,36.849702,"West Coast","NA15",2.46,2,-4,2.31,0.79,41.04,1.61,0.09,,2.29,-0.67,0.75,0.15,0.1,70.1925,1.66226875000075
"ELK","Lower",0.0330302718276597,0.0330302718276597,-0.0329915597688121,0,0.00264209480720812,-0.00696996330781602,-0.00216543614362213,0,,,0,0,,,-0.0329915597688121,,,,,,0.198152808271373,,,,-0.00371929824561392,0.108903508771926,-0.0066403508771923,"Riverine","Mesotidal","Polyhaline",1.62,3.65,36.810744,"West Coast","NA15",2.46,2,-4,2.31,0.790000000000001,41.04,1.61,0.09,,2.05,-0.43,0.9,0.025,0.075,55.81975,1.55641624999938
"GND","spalt",6.22398153091812,,-6.22398153091812,0,0.0586774462855214,0.049290294446192,0.0242673265006014,0.00878398623386159,-2.8153405042942,-3.40864102662392,,6.22398153091812,-3.40864102662392,0,-2.8153405042942,0,0,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Bay Front","Microtidal","Polyhaline",4.36,10.98,30.361762,"Gulf Coast","NA25",2.3,10,-7,3.34,4.46,65.57,0.46,0.16,,5.74,-1.38,0.592592592592593,0.407407407407407,0,82.6296296296296,0.173601111111111
