"Reserve","SiteID","Vegetation_Zone","Total.unvegetated_slope","Bare_slope","Total.live.veg_slope","H.Halophyte_slope","EIR_slope","Richness_slope","SWdiv_slope","Salt_to_Total_slope","Spartina.alterniflora_slope","Juncus.roemerianus_slope","Wrack_slope","Other.Unvegetated_slope","B.Brackish_slope","F.Freshwater_slope","U.Upland_slope","Invasive_Cover_slope","Spartina.patens_slope","Dead_slope","Other.live.vegetation_slope","Water_slope","Salicornia.pacifica_slope","Rock_slope","Wood_slope","A.Algae_slope","tide_range_slope","temp_avg_slope","precip_sum_slope","Geomorphology","Tidal_Range","Salinity_category","SLR_since_1970","SLR_last19yrs","Latitude","NERR_Region","Region","NERRS_MARS","NERRs_Landscape_resiliency_condition_sum_quantile","NERRs_Landscape_resiliency_vulnerability_sum_quantile","NERRs_Landscape_UnvegVegEdge_ratio","NERRs_Landscape_Core_edge_ratio","NERRs_Landscape_%_Natural","NERRs_Landscape_tidal_range","NERRs_Landscape_Pct_MUC_below_MHHW","Criteria_for_site_not_met","SET_change","SET_deficit","proportion_low","proportion_midToHigh","proportion_uplandOrFresh","siteAvg_distance_to_water","siteAvg_orthometric_height","zoneAvg_distance_to_water","zoneAvg_orthometric_height"
"ACE-EIN","EIN","Mid",-0.930471909612941,-0.930471909612941,0.930573991506085,0.930573991506085,0.00930492381425902,0.0123643137274237,0.00380882398708634,-2.45386962599358e-17,1.30047334806063,-0.369899356554542,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,63.2777777777778,0.606933333333333
"ACE-EIN","EIN","Low",-0.771110626043463,-0.771110626043463,0.771249225068836,0.771249225068836,0.0104445928708268,-0.0498028282771197,-0.017720056225083,-3.77346230836308e-17,1.04447314698522,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,10.6666666666667,0.740833333333333
"ACE-EIS","EIS","Mid",-2.895524170847,-2.895524170847,2.89555403460093,2.89555403460093,0.0289553312997318,0.061502024317622,0.00739230241629157,-2.06675599258244e-17,2.36526244844904,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,36.85,0.839
"ACE-EIS","EIS","Low",-0.75871668120152,-0.75871668120152,0.758716681201518,0.758716681201518,0.00749037455066672,-0.1748044948634,-0.0384764284727463,0,0.749037455066671,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,1,0.704
"APA-LSM","LSM","Low",4.48285370598266,,-4.48301151648923,0,0.0448289240105094,-0.387777125217922,-0.0883975873303622,-0.0392150015874061,0,0,0,4.48285370598266,-3.66869723579392,-1.02287182597052,0.208557545275211,0,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-LSM","LSM","Mid",5.46027039938476,,-5.46044140956256,0,0.0544767505472877,0.0218298763910828,0.0150452121837845,-0.136984805159627,0,-0.0124114731448354,0,5.46027039938476,-11.7053051985238,5.76861987593247,0.476243913028784,3.1263019672991,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-LSM","LSM","Up",7.87769577221538,,-7.87814875408389,0,-0.154765448520253,0.207217544974363,0.0821355621842883,-0.155871107621373,0,0,0,7.87769577221538,-15.4767228430735,6.91348169015515,0.685092398834503,0.792578824872091,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-PC","PC","Low",6.32088594400135,,-6.32094470244218,-2.57471407565694,0.0595555835098854,-0.184088823556118,-0.0423568145557712,0.0229507021402235,-0.877792058046253,-1.01463263568144,0.36529255163279,5.95559339236856,-2.05500110277017,-1.69381260106963,0.00258307705456517,0,-1.83303217950358,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Bay Front","Microtidal","Polyhaline",2.91,9.11,29.59641,"Gulf Coast","NA25",,9,-3,0.96,1.02,87.15,0.53,0.26,,5.02,-2.11,0.428571428571429,0.535714285714286,0.0357142857142857,,,,
"APA-PC","PC","Mid",1.50994295971696,,-1.50978832326915,0.344986767594753,0.00185459405495321,-0.0529776952021601,0.0188025622664107,0.000989714906387968,0.210225057831812,-0.259707837497088,0,1.50994295971696,-1.7802115939693,-0.0647627661110331,-0.00980073078357842,0,-1.82199283608352,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Bay Front","Microtidal","Polyhaline",2.91,9.11,29.59641,"Gulf Coast","NA25",,9,-3,0.96,1.02,87.15,0.53,0.26,,5.02,-2.11,0.428571428571429,0.535714285714286,0.0357142857142857,,,,
"APA-PC","PC","Up",-1.77745263131286,,1.77992391641833,-7.69068415099308,-0.000106111206364915,-0.0627373372731637,-0.00265180715583218,0,0,9.47060806741141,0,-1.77745263131286,9.47060806741141,0,0,0,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Bay Front","Microtidal","Polyhaline",2.91,9.11,29.59641,"Gulf Coast","NA25",,9,-3,0.96,1.02,87.15,0.53,0.26,,5.02,-2.11,0.428571428571429,0.535714285714286,0.0357142857142857,,,,
