"","Reserve","SiteID","Vegetation_Zone","term","slope","std.error","statistic","pvalue","score"
"1","ACE","EIN","Mid","Year",0.0102,0.01,1.0256,0.3074,0
"2","ACE","EIN","Low","Year",0.0139,0.013,1.0635,0.2953,0
"3","ACE","EIS","Mid","Year",0.0306,0.0087,3.4998,7e-04,2
"4","ACE","EIS","Low","Year",0.0077,0.0383,0.201,0.8536,0
"5","APA","PC","Low","Year",0.0131,0.011,1.1962,0.2337,0
"6","APA","PC","Mid","Year",0.0017,0.0063,0.2731,0.785,0
"7","CBM","MB","Low","Year",-0.0084,0.0044,-1.9372,0.0551,-1
"8","CBM","MB","Mid","Year",0.032,0.0123,2.6103,0.013,2
"9","CBM","OPC","Low","Year",0.0127,0.0032,3.9256,1e-04,2
"10","CBM","OPC","Mid","Year",0.0063,0.0015,4.1801,0,2
"11","DEL","SJR","Low","Year",0.0228,0.0173,1.3152,0.1984,1
"12","DEL","SJR","Mid","Year",0.0057,0.0213,0.2667,0.7904,0
"13","ELK","Upper","Low","Year",0.0092,0.0218,0.4228,0.6746,0
"14","ELK","Lower","Low","Year",0.0076,0.0154,0.4964,0.6208,0
"15","ELK","Upper","Mid","Year",0,0,NA,1,0
"16","GND","spalt","Low","Year",0.043,0.0091,4.7423,0,2
"17","GND","spalt","Mid","Year",0.0804,0.0121,6.6469,0,2
"18","GND","juro low","Low","Year",0.0631,0.0197,3.204,0.0029,2
"19","GND","juro low","Mid","Year",0.0858,0.0102,8.4326,0,2
"20","GND","juro high","Mid","Year",0.0708,0.0105,6.7687,0,2
"21","GND","juro high","Low","Year",0.0016,0.0262,0.0627,0.9512,0
"22","GND","juro mid","Mid","Year",0.0574,0.0079,7.2547,0,2
"23","GND","juro mid","Low","Year",-0.0097,0.0119,-0.8135,0.4279,0
"24","GRB","SP","Low","Year",0.0342,0.0081,4.2447,1e-04,2
"25","GRB","SP","Mid","Year",0.0119,0.0048,2.4654,0.0141,2
"26","GRB","GBF","Low","Year",-0.0049,0.0098,-0.4986,0.6198,0
"27","GRB","GBF","Mid","Year",0.0133,0.006,2.205,0.0282,2
"28","GRB","BC","Low","Year",0.0082,0.0065,1.2636,0.2091,0
"29","GRB","BC","Mid","Year",0.0161,0.0081,1.99,0.0484,2
"30","GTM","22","Low","Year",-0.0052,0.0047,-1.1092,0.268,0
"31","GTM","0","Low","Year",-1e-04,0.0044,-0.0186,0.9852,0
"32","GTM","40","Low","Year",-0.0155,0.0043,-3.6295,3e-04,-2
"33","GTM","1","Low","Year",0.005,0.0061,0.8196,0.413,0
"34","GTM","46","Low","Year",0.0079,0.0067,1.1726,0.2417,0
"35","JAC","Central Segment","Low","Year",-0.0171,0.0034,-5.0013,0,-2
"36","JAC","South Segment","Low","Year",-0.0041,0.004,-1.0221,0.3076,0
"37","KAC","FR","Mid","Year",-0.0021,0.0018,-1.162,0.2459,0
"38","KAC","FR","Low","Year",0.0039,0.0091,0.4282,0.6694,0
"39","KAC","BS","Low","Year",0.002,0.0038,0.5317,0.5953,0
"40","KAC","BS","Mid","Year",0,0,NA,1,0
"41","KAC","CP","Mid","Year",0.0023,0.0015,1.6063,0.1092,1
"42","KAC","CP","Low","Year",0.0014,0.0018,0.769,0.4431,0
"43","KAC","SC","Low","Year",0.0081,0.0081,0.9994,0.3206,0
"44","KAC","SC","Mid","Year",0.0048,0.0116,0.4156,0.6789,0
"45","MAR","MI-W","Low","Year",-0.0208,0.0052,-4.0107,1e-04,-2
