"","Reserve","SiteID","site_variable","Category","SampleSize","term","slope","std.error","statistic","pvalue","score"
"1","ACE","EIN","Region","Southeast",142,"Year",0.0109,0.0083,1.3162,0.1903,1
"2","ACE","EIS","Region","Southeast",122,"Year",0.0301,0.0086,3.52,6e-04,2
"3","APA","PC","Region","Gulf Coast",333,"Year",0.0048,0.0061,0.7866,0.4321,0
"4","CBM","MB","Region","Mid-Atlantic",160,"Year",0,0.0052,9e-04,0.9992,0
"5","CBM","OPC","Region","Mid-Atlantic",419,"Year",0.0087,0.0015,5.6721,0,2
"6","DEL","SJR","Region","Mid-Atlantic",116,"Year",0.0104,0.0162,0.6413,0.5226,0
"7","ELK","Upper","Region","West Coast",54,"Year",0.0077,0.027,0.2847,0.777,0
"8","ELK","Lower","Region","West Coast",92,"Year",0.007,0.0151,0.4657,0.6426,0
"9","GND","spalt","Region","Gulf Coast",162,"Year",0.0583,0.0074,7.8617,0,2
"10","GND","juro low","Region","Gulf Coast",210,"Year",0.0819,0.0091,9.0293,0,2
"11","GND","juro high","Region","Gulf Coast",128,"Year",0.0642,0.0106,6.0762,0,2
"12","GND","juro mid","Region","Gulf Coast",222,"Year",0.052,0.0084,6.1724,0,2
"13","GRB","SP","Region","Northeast",429,"Year",0.0154,0.0043,3.5646,4e-04,2
"14","GRB","GBF","Region","Northeast",363,"Year",0.01,0.0053,1.901,0.0581,1
"15","GRB","BC","Region","Northeast",263,"Year",0.0128,0.0055,2.3454,0.0198,2
"16","GTM","22","Region","Southeast",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"17","GTM","0","Region","Southeast",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"18","GTM","40","Region","Southeast",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"19","GTM","1","Region","Southeast",375,"Year",0.005,0.0061,0.8196,0.413,0
"20","GTM","46","Region","Southeast",391,"Year",0.0068,0.0067,1.0173,0.3097,0
"21","JAC","Central Segment","Region","Mid-Atlantic",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"22","JAC","South Segment","Region","Mid-Atlantic",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"23","KAC","FR","Region","West Coast",528,"Year",-8e-04,0.0028,-0.2742,0.784,0
"24","KAC","BS","Region","West Coast",334,"Year",0.0019,0.0037,0.5246,0.6002,0
