"","Reserve","SiteID","site_variable","Category","SampleSize","term","slope","std.error","statistic","pvalue","score"
"1","ACE","EIN","Region","Southeast",142,"Year",0.0109,0.0083,1.3162,0.1903,1
"2","ACE","EIS","Region","Southeast",122,"Year",0.0301,0.0086,3.52,6e-04,2
"3","APA","PC","Region","Gulf Coast",346,"Year",0.0045,0.0059,0.7621,0.4465,0
"4","CBM","MB","Region","Mid-Atlantic",160,"Year",0,0.0052,9e-04,0.9992,0
"5","CBM","OPC","Region","Mid-Atlantic",419,"Year",0.0087,0.0015,5.6721,0,2
"6","DEL","SJR","Region","Mid-Atlantic",120,"Year",0.0101,0.0159,0.6331,0.5279,0
"7","ELK","Upper","Region","West Coast",60,"Year",0.0096,0.0251,0.3829,0.7032,0
"8","ELK","Lower","Region","West Coast",100,"Year",0.0091,0.0141,0.6429,0.5218,0
"9","GND","spalt","Region","Gulf Coast",162,"Year",0.0583,0.0074,7.8617,0,2
"10","GND","juro low","Region","Gulf Coast",210,"Year",0.0819,0.0091,9.0293,0,2
"11","GND","juro high","Region","Gulf Coast",128,"Year",0.0642,0.0106,6.0762,0,2
"12","GND","juro mid","Region","Gulf Coast",240,"Year",0.0465,0.0093,5.0213,0,2
"13","GND","clmaj","Region","Gulf Coast",150,"Year",0,0,NA,1,0
"14","GRB","SP","Region","Northeast",491,"Year",0.0151,0.0039,3.8623,1e-04,2
"15","GRB","GBF","Region","Northeast",429,"Year",0.0086,0.0046,1.8791,0.0609,1
"16","GRB","BC","Region","Northeast",329,"Year",0.0127,0.0045,2.8018,0.0054,2
"17","GTM","22","Region","Southeast",399,"Year",-0.0052,0.0047,-1.1092,0.268,0
"18","GTM","0","Region","Southeast",349,"Year",-1e-04,0.0044,-0.0186,0.9852,0
"19","GTM","40","Region","Southeast",328,"Year",-0.0155,0.0043,-3.6295,3e-04,-2
"20","GTM","1","Region","Southeast",375,"Year",0.005,0.0061,0.8196,0.413,0
"21","GTM","46","Region","Southeast",406,"Year",-7e-04,0.0064,-0.103,0.918,0
"22","JAC","Central Segment","Region","Mid-Atlantic",270,"Year",-0.0171,0.0034,-5.0013,0,-2
"23","JAC","South Segment","Region","Mid-Atlantic",270,"Year",-0.0041,0.004,-1.0221,0.3076,0
"24","KAC","FR","Region","West Coast",546,"Year",-7e-04,0.0027,-0.2714,0.7862,0
