"","Reserve","SiteID","Vegetation_Zone","Sample_Size","term","slope","std.error","statistic","pvalue","score"
"1","ACE","EIN","Mid",107,"Year",0.0102,0.01,1.0256,0.3074,0
"2","ACE","EIN","Low",35,"Year",0.0139,0.013,1.0635,0.2953,0
"3","ACE","EIS","Mid",117,"Year",0.0306,0.0087,3.4998,7e-04,2
"4","ACE","EIS","Low",5,"Year",0.0077,0.0383,0.201,0.8536,0
"5","APA","PC","Low",138,"Year",0.0131,0.011,1.1962,0.2337,0
"6","APA","PC","Mid",195,"Year",0.0017,0.0063,0.2731,0.785,0
"7","APA","PC","Up",13,"Year",-1e-04,0,-2.2227,0.0481,-2
"8","CBM","MB","Low",121,"Year",-0.0084,0.0044,-1.9372,0.0551,-1
"9","CBM","MB","Mid",39,"Year",0.032,0.0123,2.6103,0.013,2
"10","CBM","OPC","Low",154,"Year",0.0127,0.0032,3.9256,1e-04,2
"11","CBM","OPC","Mid",265,"Year",0.0063,0.0015,4.1801,0,2
"12","DEL","SJR","Up",4,"Year",0,0,NA,1,0
"13","DEL","SJR","Low",32,"Year",0.0228,0.0173,1.3152,0.1984,1
"14","DEL","SJR","Mid",84,"Year",0.0057,0.0213,0.2667,0.7904,0
"15","ELK","Upper","Up",6,"Year",0.0268,0.0659,0.4062,0.7054,0
"16","ELK","Upper","Low",45,"Year",0.0092,0.0218,0.4228,0.6746,0
"17","ELK","Lower","Up",8,"Year",0.033,0.0342,0.9647,0.3719,0
"18","ELK","Lower","Low",90,"Year",0.0076,0.0154,0.4964,0.6208,0
"19","ELK","Upper","Mid",9,"Year",0,0,NA,1,0
"20","ELK","Lower","Mid",2,"Year",-0.0058,NA,NA,1,0
"21","GND","spalt","Low",96,"Year",0.043,0.0091,4.7423,0,2
"22","GND","spalt","Mid",66,"Year",0.0804,0.0121,6.6469,0,2
"23","GND","juro low","Low",36,"Year",0.0631,0.0197,3.204,0.0029,2
"24","GND","juro low","Mid",174,"Year",0.0858,0.0102,8.4326,0,2
"25","GND","juro high","Mid",116,"Year",0.0708,0.0105,6.7687,0,2
"26","GND","juro high","Low",12,"Year",0.0016,0.0262,0.0627,0.9512,0
"27","GND","juro mid","Mid",204,"Year",0.0574,0.0079,7.2547,0,2
