,site_variable,Category,slope.m,slope.se,score.m,score.se
1,Geomorphology,Back Barrier,0.002,0.003,0.294,0.268
2,Geomorphology,Bay Front,0.016,0.006,0.778,0.319
3,Geomorphology,Riverine,0.009,0.004,0.381,0.263
4,Region,Gulf Coast,0.036,0.01,1.2,0.442
5,Region,Mid-Atlantic,0,0.005,0,0.632
6,Region,Northeast,0.011,0.002,1.667,0.236
7,Region,Southeast,0.003,0.005,-0.091,0.415
8,Region,West Coast,0,0.002,0.048,0.129
9,salinity,Mesohaline,0.021,0.01,0.8,0.291
10,salinity,Oligohaline,-0.003,0.003,-0.2,0.359
11,salinity,Polyhaline,0.009,0.003,0.583,0.212
12,tidal_range,Macrotidal,0.002,0.001,0.25,0.25
13,tidal_range,Mesotidal,0.001,0.002,0.238,0.181
14,tidal_range,Microtidal,0.015,0.005,0.677,0.264
