"","Reserve","SiteID","Region","Geomorphology","tidal_range","salinity","Metric","SampleSize","term","df","sumsq","meansq","statistic","pvalue"
"1","ACE","EIN","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",142,"Year",1,1040.3437,1040.3437,1.5664,0.2128
"2","ACE","EIN","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",142,"Vegetation_Zone",1,4544.7276,4544.7276,6.843,0.0099
"3","ACE","EIN","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",142,"Year:Vegetation_Zone",1,1.6018,1.6018,0.0024,0.9609
"4","ACE","EIN","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",142,"Residuals",138,91652.309,664.1472,NA,1
"5","ACE","EIS","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",122,"Year",1,7637.6227,7637.6227,12.3825,6e-04
"6","ACE","EIS","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",122,"Vegetation_Zone",1,1154.1753,1154.1753,1.8712,0.1739
"7","ACE","EIS","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",122,"Year:Vegetation_Zone",1,169.6885,169.6885,0.2751,0.6009
"8","ACE","EIS","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",122,"Residuals",118,72783.536,616.8096,NA,1
"9","APA","PC","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",346,"Year",1,2450.4528,2450.4528,4.3122,0.0386
"10","APA","PC","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",346,"Vegetation_Zone",2,870.272,435.136,0.7657,0.4658
"11","APA","PC","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",346,"Year:Vegetation_Zone",2,504.5907,252.2954,0.444,0.6418
"12","APA","PC","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",346,"Residuals",340,193207.1419,568.2563,NA,1
"13","CBM","MB","Mid-Atlantic","Bay Front","Microtidal","Mesohaline","Abiotic Cover",160,"Year",1,6704.9091,6704.9091,34.0615,0
"14","CBM","MB","Mid-Atlantic","Bay Front","Microtidal","Mesohaline","Abiotic Cover",160,"Vegetation_Zone",1,1608.4514,1608.4514,8.1711,0.0048
"15","CBM","MB","Mid-Atlantic","Bay Front","Microtidal","Mesohaline","Abiotic Cover",160,"Year:Vegetation_Zone",1,32.9849,32.9849,0.1676,0.6828
"16","CBM","MB","Mid-Atlantic","Bay Front","Microtidal","Mesohaline","Abiotic Cover",160,"Residuals",156,30708.1408,196.8471,NA,1
"17","CBM","OPC","Mid-Atlantic","Riverine","Microtidal","Oligohaline","Abiotic Cover",419,"Year",1,35398.9291,35398.9291,105.2203,0
"18","CBM","OPC","Mid-Atlantic","Riverine","Microtidal","Oligohaline","Abiotic Cover",419,"Vegetation_Zone",1,105.935,105.935,0.3149,0.575
"19","CBM","OPC","Mid-Atlantic","Riverine","Microtidal","Oligohaline","Abiotic Cover",419,"Year:Vegetation_Zone",1,1267.4459,1267.4459,3.7674,0.0529
"20","CBM","OPC","Mid-Atlantic","Riverine","Microtidal","Oligohaline","Abiotic Cover",419,"Residuals",415,139617.0824,336.4267,NA,1
"21","DEL","SJR","Mid-Atlantic","Riverine","Microtidal","Mesohaline","Abiotic Cover",120,"Year",1,2215.4126,2215.4126,4.686,0.0325
"22","DEL","SJR","Mid-Atlantic","Riverine","Microtidal","Mesohaline","Abiotic Cover",120,"Vegetation_Zone",2,23214.5113,11607.2556,24.5512,0
"23","DEL","SJR","Mid-Atlantic","Riverine","Microtidal","Mesohaline","Abiotic Cover",120,"Year:Vegetation_Zone",2,32.3213,16.1607,0.0342,0.9664
"24","DEL","SJR","Mid-Atlantic","Riverine","Microtidal","Mesohaline","Abiotic Cover",120,"Residuals",114,53896.5647,472.7769,NA,1
"25","ELK","Upper","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",60,"Year",1,798.289,798.289,0.9286,0.3395
"26","ELK","Upper","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",60,"Vegetation_Zone",2,2029.4571,1014.7285,1.1803,0.315
"27","ELK","Upper","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",60,"Year:Vegetation_Zone",2,1703.7326,851.8663,0.9909,0.3779
"28","ELK","Upper","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",60,"Residuals",54,46423.1405,859.6878,NA,1
"29","ELK","Lower","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",100,"Year",1,2438.275,2438.275,2.2915,0.1334
"30","ELK","Lower","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",100,"Vegetation_Zone",2,6026.4299,3013.2149,2.8319,0.0639
"31","ELK","Lower","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",100,"Year:Vegetation_Zone",2,762.021,381.0105,0.3581,0.7
"32","ELK","Lower","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",100,"Residuals",94,100019.1322,1064.0333,NA,1
"33","GND","spalt","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",162,"Year",1,18063.8354,18063.8354,84.355,0
"34","GND","spalt","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",162,"Vegetation_Zone",1,361.733,361.733,1.6892,0.1956
"35","GND","spalt","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",162,"Year:Vegetation_Zone",1,2425.4919,2425.4919,11.3266,0.001
"36","GND","spalt","Gulf Coast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",162,"Residuals",158,33834.2174,214.1406,NA,1
"37","GND","juro low","Gulf Coast","Bay Front","Microtidal","Mesohaline","Abiotic Cover",210,"Year",1,42074.8608,42074.8608,99.0359,0
"38","GND","juro low","Gulf Coast","Bay Front","Microtidal","Mesohaline","Abiotic Cover",210,"Vegetation_Zone",1,810.1938,810.1938,1.907,0.1688
"39","GND","juro low","Gulf Coast","Bay Front","Microtidal","Mesohaline","Abiotic Cover",210,"Year:Vegetation_Zone",1,496.1268,496.1268,1.1678,0.2811
"40","GND","juro low","Gulf Coast","Bay Front","Microtidal","Mesohaline","Abiotic Cover",210,"Residuals",206,87517.9329,424.8443,NA,1
"41","GND","juro high","Gulf Coast","Riverine","Microtidal","Mesohaline","Abiotic Cover",128,"Year",1,14952.5813,14952.5813,42.4828,0
"42","GND","juro high","Gulf Coast","Riverine","Microtidal","Mesohaline","Abiotic Cover",128,"Vegetation_Zone",1,5784.7337,5784.7337,16.4354,1e-04
"43","GND","juro high","Gulf Coast","Riverine","Microtidal","Mesohaline","Abiotic Cover",128,"Year:Vegetation_Zone",1,1578.056,1578.056,4.4835,0.0362
"44","GND","juro high","Gulf Coast","Riverine","Microtidal","Mesohaline","Abiotic Cover",128,"Residuals",124,43644.0587,351.9682,NA,1
"45","GND","juro mid","Gulf Coast","Riverine","Microtidal","Mesohaline","Abiotic Cover",240,"Year",1,21153.0057,21153.0057,54.6899,0
"46","GND","juro mid","Gulf Coast","Riverine","Microtidal","Mesohaline","Abiotic Cover",240,"Vegetation_Zone",2,14549.9795,7274.9897,18.8091,0
"47","GND","juro mid","Gulf Coast","Riverine","Microtidal","Mesohaline","Abiotic Cover",240,"Year:Vegetation_Zone",2,1901.8923,950.9462,2.4586,0.0878
"48","GND","juro mid","Gulf Coast","Riverine","Microtidal","Mesohaline","Abiotic Cover",240,"Residuals",234,90506.785,386.7811,NA,1
"49","GRB","SP","Northeast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",491,"Year",1,560.6726,560.6726,0.9647,0.3265
"50","GRB","SP","Northeast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",491,"Vegetation_Zone",2,8030.369,4015.1845,6.9089,0.0011
"51","GRB","SP","Northeast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",491,"Year:Vegetation_Zone",2,6533.9062,3266.9531,5.6214,0.0039
"52","GRB","SP","Northeast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",491,"Residuals",485,281863.5096,581.1619,NA,1
"53","GRB","GBF","Northeast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",429,"Year",1,54.0811,54.0811,0.0821,0.7746
"54","GRB","GBF","Northeast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",429,"Vegetation_Zone",2,89809.9802,44904.9901,68.1788,0
"55","GRB","GBF","Northeast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",429,"Year:Vegetation_Zone",2,128.6715,64.3358,0.0977,0.907
"56","GRB","GBF","Northeast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",429,"Residuals",423,278603.0523,658.6361,NA,1
"57","GRB","BC","Northeast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",329,"Year",1,4578.3168,4578.3168,7.9979,0.005
"58","GRB","BC","Northeast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",329,"Vegetation_Zone",2,28172.9041,14086.4521,24.6078,0
"59","GRB","BC","Northeast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",329,"Year:Vegetation_Zone",2,511.3909,255.6955,0.4467,0.6401
"60","GRB","BC","Northeast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",329,"Residuals",323,184897.953,572.4395,NA,1
"61","GTM","46","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",406,"Year",1,520.0534,520.0534,0.5097,0.4757
"62","GTM","46","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",406,"Vegetation_Zone",2,2671.2468,1335.6234,1.309,0.2712
"63","GTM","46","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",406,"Residuals",402,410185.9731,1020.3631,NA,1
"64","KAC","FR","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",546,"Year",1,8204.3198,8204.3198,9.1562,0.0026
"65","KAC","FR","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",546,"Vegetation_Zone",2,64424.2338,32212.1169,35.9494,0
"66","KAC","FR","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",546,"Year:Vegetation_Zone",2,1328.2373,664.1187,0.7412,0.477
"67","KAC","FR","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",546,"Residuals",540,483862.3083,896.0413,NA,1
"68","KAC","BS","West Coast","Back Barrier","Macrotidal","Oligohaline","Abiotic Cover",346,"Year",1,4260.5511,4260.5511,3.067,0.0808
"69","KAC","BS","West Coast","Back Barrier","Macrotidal","Oligohaline","Abiotic Cover",346,"Vegetation_Zone",2,36275.8873,18137.9437,13.0567,0
"70","KAC","BS","West Coast","Back Barrier","Macrotidal","Oligohaline","Abiotic Cover",346,"Year:Vegetation_Zone",2,100.513,50.2565,0.0362,0.9645
"71","KAC","BS","West Coast","Back Barrier","Macrotidal","Oligohaline","Abiotic Cover",346,"Residuals",340,472316.0521,1389.1649,NA,1
"72","KAC","CP","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",463,"Year",1,227.726,227.726,0.1306,0.718
"73","KAC","CP","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",463,"Vegetation_Zone",1,24850.8396,24850.8396,14.2526,2e-04
"74","KAC","CP","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",463,"Year:Vegetation_Zone",1,3.801,3.801,0.0022,0.9628
"75","KAC","CP","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",463,"Residuals",459,800312.0159,1743.5992,NA,1
"76","KAC","SC","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",161,"Year",1,227.4843,227.4843,0.2934,0.5888
"77","KAC","SC","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",161,"Vegetation_Zone",1,6043.846,6043.846,7.7943,0.0059
"78","KAC","SC","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",161,"Year:Vegetation_Zone",1,56.8185,56.8185,0.0733,0.787
"79","KAC","SC","West Coast","Bay Front","Macrotidal","Mesohaline","Abiotic Cover",161,"Residuals",157,121741.4314,775.4231,NA,1
"80","NAR","Nag","Northeast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",312,"Year",1,10269.132,10269.132,44.2505,0
"81","NAR","Nag","Northeast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",312,"Vegetation_Zone",2,4086.2925,2043.1462,8.8041,2e-04
"82","NAR","Nag","Northeast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",312,"Year:Vegetation_Zone",2,3469.9726,1734.9863,7.4762,7e-04
"83","NAR","Nag","Northeast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",312,"Residuals",306,71012.8875,232.0683,NA,1
"84","NAR","Coggeshall","Northeast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",273,"Year",1,14485.4582,14485.4582,39.3059,0
"85","NAR","Coggeshall","Northeast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",273,"Vegetation_Zone",2,3879.1648,1939.5824,5.263,0.0057
"86","NAR","Coggeshall","Northeast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",273,"Year:Vegetation_Zone",2,236.965,118.4825,0.3215,0.7253
"87","NAR","Coggeshall","Northeast","Bay Front","Microtidal","Polyhaline","Abiotic Cover",273,"Residuals",267,98397.7728,368.531,NA,1
"88","NIW","Segment A","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",319,"Year",1,4773.0791,4773.0791,4.7102,0.0307
"89","NIW","Segment A","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",319,"Vegetation_Zone",2,31406.048,15703.024,15.496,0
"90","NIW","Segment A","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",319,"Year:Vegetation_Zone",2,7745.8154,3872.9077,3.8218,0.0229
"91","NIW","Segment A","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",319,"Residuals",313,317181.5847,1013.3597,NA,1
"92","NIW","Segment B","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",338,"Year",1,2817.7494,2817.7494,2.6191,0.1065
"93","NIW","Segment B","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",338,"Vegetation_Zone",1,14339.816,14339.816,13.329,3e-04
"94","NIW","Segment B","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",338,"Year:Vegetation_Zone",1,5426.2873,5426.2873,5.0438,0.0254
"95","NIW","Segment B","Southeast","Riverine","Microtidal","Polyhaline","Abiotic Cover",338,"Residuals",334,359329.9993,1075.8383,NA,1
"96","NOC","MI","Southeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",789,"Year",1,7010.0006,7010.0006,5.8038,0.0162
"97","NOC","MI","Southeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",789,"Vegetation_Zone",1,55609.1359,55609.1359,46.0403,0
"98","NOC","MI","Southeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",789,"Year:Vegetation_Zone",1,1783.7671,1783.7671,1.4768,0.2246
"99","NOC","MI","Southeast","Back Barrier","Microtidal","Polyhaline","Abiotic Cover",789,"Residuals",785,948150.6747,1207.8353,NA,1
"100","SOS","DM","West Coast","Riverine","Mesotidal","Mesohaline","Abiotic Cover",70,"Year",1,0,0,NA,1
"101","SOS","DM","West Coast","Riverine","Mesotidal","Mesohaline","Abiotic Cover",70,"Vegetation_Zone",1,0,0,NA,1
"102","SOS","DM","West Coast","Riverine","Mesotidal","Mesohaline","Abiotic Cover",70,"Year:Vegetation_Zone",1,0,0,NA,1
"103","SOS","DM","West Coast","Riverine","Mesotidal","Mesohaline","Abiotic Cover",70,"Residuals",66,0,0,NA,1
"104","SOS","MM","West Coast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",120,"Year",1,27.5655,27.5655,1.634,0.2037
"105","SOS","MM","West Coast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",120,"Vegetation_Zone",1,8.3952,8.3952,0.4976,0.482
"106","SOS","MM","West Coast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",120,"Year:Vegetation_Zone",1,124.4598,124.4598,7.3776,0.0076
"107","SOS","MM","West Coast","Bay Front","Mesotidal","Polyhaline","Abiotic Cover",120,"Residuals",116,1956.9251,16.87,NA,1
"108","SOS","HC","West Coast","Riverine","Mesotidal","Mesohaline","Abiotic Cover",122,"Year",1,0.4604,0.4604,3.2762,0.0728
"109","SOS","HC","West Coast","Riverine","Mesotidal","Mesohaline","Abiotic Cover",122,"Vegetation_Zone",1,0.2098,0.2098,1.4927,0.2242
"110","SOS","HC","West Coast","Riverine","Mesotidal","Mesohaline","Abiotic Cover",122,"Year:Vegetation_Zone",1,0.2474,0.2474,1.7603,0.1872
"111","SOS","HC","West Coast","Riverine","Mesotidal","Mesohaline","Abiotic Cover",122,"Residuals",118,16.582,0.1405,NA,1
"112","SOS","VM","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",100,"Year",1,321.3662,321.3662,2.3243,0.1307
"113","SOS","VM","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",100,"Vegetation_Zone",1,236.7686,236.7686,1.7125,0.1938
"114","SOS","VM","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",100,"Year:Vegetation_Zone",1,186.3894,186.3894,1.3481,0.2485
"115","SOS","VM","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",100,"Residuals",96,13273.0954,138.2614,NA,1
"116","SOS","VI","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",60,"Year",1,0.6101,0.6101,1.0381,0.3126
"117","SOS","VI","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",60,"Vegetation_Zone",1,0.0634,0.0634,0.1078,0.7438
"118","SOS","VI","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",60,"Year:Vegetation_Zone",1,0.0678,0.0678,0.1153,0.7354
"119","SOS","VI","West Coast","Riverine","Mesotidal","Polyhaline","Abiotic Cover",60,"Residuals",56,32.9109,0.5877,NA,1
"120","TJR","McCoy North","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",50,"Year",1,53.6077,53.6077,0.0424,0.8379
"121","TJR","McCoy North","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",50,"Vegetation_Zone",1,18279.676,18279.676,14.4412,4e-04
"122","TJR","McCoy North","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",50,"Year:Vegetation_Zone",1,493.1425,493.1425,0.3896,0.5356
"123","TJR","McCoy North","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",50,"Residuals",46,58226.7136,1265.7981,NA,1
"124","TJR","McCoy South","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Year",1,5005.9401,5005.9401,8.264,0.0044
"125","TJR","McCoy South","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Vegetation_Zone",2,118779.9728,59389.9864,98.0427,0
"126","TJR","McCoy South","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Year:Vegetation_Zone",2,1181.5973,590.7986,0.9753,0.3786
"127","TJR","McCoy South","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Residuals",234,141746.9487,605.7562,NA,1
"128","TJR","South Beach","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",210,"Year",1,255.7748,255.7748,0.2036,0.6523
"129","TJR","South Beach","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",210,"Vegetation_Zone",1,36730.1529,36730.1529,29.2409,0
"130","TJR","South Beach","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",210,"Year:Vegetation_Zone",1,1.6843,1.6843,0.0013,0.9708
"131","TJR","South Beach","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",210,"Residuals",206,258761.679,1256.1247,NA,1
"132","TJR","V1","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",270,"Year",1,3782.7752,3782.7752,14.4442,2e-04
"133","TJR","V1","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",270,"Vegetation_Zone",2,7329.8907,3664.9454,13.9942,0
"134","TJR","V1","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",270,"Year:Vegetation_Zone",2,2122.4743,1061.2371,4.0522,0.0185
"135","TJR","V1","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",270,"Residuals",264,69138.8251,261.8895,NA,1
"136","TJR","V4","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Year",1,1377.7931,1377.7931,4.3578,0.0379
"137","TJR","V4","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Vegetation_Zone",1,255.7256,255.7256,0.8088,0.3694
"138","TJR","V4","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Year:Vegetation_Zone",1,34.3591,34.3591,0.1087,0.742
"139","TJR","V4","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",240,"Residuals",236,74614.6109,316.1636,NA,1
"140","TJR","Brazo Creek","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",48,"Year",1,390.6602,390.6602,1.9363,0.1711
"141","TJR","Brazo Creek","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",48,"Vegetation_Zone",1,1696.0167,1696.0167,8.4061,0.0058
"142","TJR","Brazo Creek","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",48,"Year:Vegetation_Zone",1,135.7441,135.7441,0.6728,0.4165
"143","TJR","Brazo Creek","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",48,"Residuals",44,8877.407,201.7592,NA,1
"144","TJR","Model Marsh","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",120,"Year",1,1370.426,1370.426,1.75,0.1885
"145","TJR","Model Marsh","West Coast","Back Barrier","Mesotidal","Polyhaline","Abiotic Cover",120,"Vegetation_Zone",1,1479.605,1479.605,1.8894,0.1719
