"","Metric","site_variable","value","pvalue.percent","SampleSize"
"1","Abiotic Cover","Geomorphology","Back Barrier",29.412,17
"2","Abiotic Cover","Geomorphology","Bay Front",72.222,18
"3","Abiotic Cover","Geomorphology","Riverine",42.857,21
"4","Abiotic Cover","Region","Gulf Coast",80,10
"5","Abiotic Cover","Region","Mid-Atlantic",80,5
"6","Abiotic Cover","Region","Northeast",44.444,9
"7","Abiotic Cover","Region","Southeast",54.545,11
"8","Abiotic Cover","Region","West Coast",23.81,21
"9","Abiotic Cover","salinity","Mesohaline",60,10
"10","Abiotic Cover","salinity","Oligohaline",30,10
"11","Abiotic Cover","salinity","Polyhaline",50,36
"12","Abiotic Cover","tidal_range","Macrotidal",25,4
"13","Abiotic Cover","tidal_range","Mesotidal",28.571,21
"14","Abiotic Cover","tidal_range","Microtidal",64.516,31
"15","Live Cover","Geomorphology","Back Barrier",29.412,17
"16","Live Cover","Geomorphology","Bay Front",72.222,18
"17","Live Cover","Geomorphology","Riverine",42.857,21
"18","Live Cover","Region","Gulf Coast",80,10
"19","Live Cover","Region","Mid-Atlantic",80,5
"20","Live Cover","Region","Northeast",44.444,9
"21","Live Cover","Region","Southeast",54.545,11
"22","Live Cover","Region","West Coast",23.81,21
"23","Live Cover","salinity","Mesohaline",60,10
"24","Live Cover","salinity","Oligohaline",30,10
"25","Live Cover","salinity","Polyhaline",50,36
"26","Live Cover","tidal_range","Macrotidal",25,4
"27","Live Cover","tidal_range","Mesotidal",28.571,21
"28","Live Cover","tidal_range","Microtidal",64.516,31
"29","Halophyte Cover","Geomorphology","Back Barrier",35.294,17
"30","Halophyte Cover","Geomorphology","Bay Front",55.556,18
"31","Halophyte Cover","Geomorphology","Riverine",42.857,21
"32","Halophyte Cover","Region","Gulf Coast",40,10
"33","Halophyte Cover","Region","Mid-Atlantic",40,5
"34","Halophyte Cover","Region","Northeast",44.444,9
"35","Halophyte Cover","Region","Southeast",63.636,11
"36","Halophyte Cover","Region","West Coast",38.095,21
"37","Halophyte Cover","salinity","Mesohaline",40,10
"38","Halophyte Cover","salinity","Oligohaline",40,10
"39","Halophyte Cover","salinity","Polyhaline",47.222,36
"40","Halophyte Cover","tidal_range","Macrotidal",50,4
"41","Halophyte Cover","tidal_range","Mesotidal",33.333,21
"42","Halophyte Cover","tidal_range","Microtidal",51.613,31
"43","Freshwater Cover","Geomorphology","Back Barrier",17.647,17
"44","Freshwater Cover","Geomorphology","Bay Front",11.111,18
"45","Freshwater Cover","Geomorphology","Riverine",38.095,21
"46","Freshwater Cover","Region","Gulf Coast",30,10
"47","Freshwater Cover","Region","Mid-Atlantic",20,5
"48","Freshwater Cover","Region","Northeast",44.444,9
"49","Freshwater Cover","Region","Southeast",27.273,11
"50","Freshwater Cover","Region","West Coast",9.524,21
"51","Freshwater Cover","salinity","Mesohaline",20,10
"52","Freshwater Cover","salinity","Oligohaline",40,10
"53","Freshwater Cover","salinity","Polyhaline",19.444,36
"54","Freshwater Cover","tidal_range","Macrotidal",50,4
"55","Freshwater Cover","tidal_range","Mesotidal",9.524,21
"56","Freshwater Cover","tidal_range","Microtidal",29.032,31
"57","EMI","Geomorphology","Back Barrier",35.294,17
"58","EMI","Geomorphology","Bay Front",61.111,18
"59","EMI","Geomorphology","Riverine",38.095,21
"60","EMI","Region","Gulf Coast",80,10
"61","EMI","Region","Mid-Atlantic",60,5
"62","EMI","Region","Northeast",77.778,9
"63","EMI","Region","Southeast",54.545,11
"64","EMI","Region","West Coast",4.762,21
"65","EMI","salinity","Mesohaline",40,10
"66","EMI","salinity","Oligohaline",30,10
"67","EMI","salinity","Polyhaline",50,36
"68","EMI","tidal_range","Macrotidal",0,4
"69","EMI","tidal_range","Mesotidal",14.286,21
"70","EMI","tidal_range","Microtidal",70.968,31
"71","Salt Ratio","Geomorphology","Back Barrier",23.529,17
"72","Salt Ratio","Geomorphology","Bay Front",38.889,18
"73","Salt Ratio","Geomorphology","Riverine",42.857,21
"74","Salt Ratio","Region","Gulf Coast",70,10
"75","Salt Ratio","Region","Mid-Atlantic",20,5
"76","Salt Ratio","Region","Northeast",22.222,9
"77","Salt Ratio","Region","Southeast",63.636,11
"78","Salt Ratio","Region","West Coast",14.286,21
"79","Salt Ratio","salinity","Mesohaline",30,10
"80","Salt Ratio","salinity","Oligohaline",70,10
"81","Salt Ratio","salinity","Polyhaline",27.778,36
"82","Salt Ratio","tidal_range","Macrotidal",25,4
"83","Salt Ratio","tidal_range","Mesotidal",14.286,21
"84","Salt Ratio","tidal_range","Microtidal",51.613,31
"85","Shannon-Weiner Diversity","Geomorphology","Back Barrier",41.176,17
"86","Shannon-Weiner Diversity","Geomorphology","Bay Front",72.222,18
"87","Shannon-Weiner Diversity","Geomorphology","Riverine",66.667,21
"88","Shannon-Weiner Diversity","Region","Gulf Coast",90,10
"89","Shannon-Weiner Diversity","Region","Mid-Atlantic",80,5
"90","Shannon-Weiner Diversity","Region","Northeast",66.667,9
"91","Shannon-Weiner Diversity","Region","Southeast",54.545,11
"92","Shannon-Weiner Diversity","Region","West Coast",42.857,21
"93","Shannon-Weiner Diversity","salinity","Mesohaline",80,10
"94","Shannon-Weiner Diversity","salinity","Oligohaline",60,10
"95","Shannon-Weiner Diversity","salinity","Polyhaline",55.556,36
"96","Shannon-Weiner Diversity","tidal_range","Macrotidal",50,4
"97","Shannon-Weiner Diversity","tidal_range","Mesotidal",42.857,21
"98","Shannon-Weiner Diversity","tidal_range","Microtidal",74.194,31
"99","Richness","Geomorphology","Back Barrier",35.294,17
"100","Richness","Geomorphology","Bay Front",66.667,18
"101","Richness","Geomorphology","Riverine",57.143,21
"102","Richness","Region","Gulf Coast",90,10
"103","Richness","Region","Mid-Atlantic",40,5
"104","Richness","Region","Northeast",44.444,9
"105","Richness","Region","Southeast",72.727,11
"106","Richness","Region","West Coast",33.333,21
"107","Richness","salinity","Mesohaline",70,10
"108","Richness","salinity","Oligohaline",60,10
"109","Richness","salinity","Polyhaline",47.222,36
"110","Richness","tidal_range","Macrotidal",75,4
"111","Richness","tidal_range","Mesotidal",28.571,21
"112","Richness","tidal_range","Microtidal",67.742,31
