"","Reserve","SiteID","Metric","SampleSize","term","slope","std.error","statistic","pvalue"
"1","ACE","EIN","Abiotic Cover",142,"(Intercept)",2299.041,3334.8793,0.6894,0.4917
"2","ACE","EIN","Abiotic Cover",142,"Year",-1.1172,1.6547,-0.6752,0.5007
"3","ACE","EIN","Abiotic Cover",142,"Vegetation_ZoneMid",-175.4461,3839.8008,-0.0457,0.9636
"4","ACE","EIN","Abiotic Cover",142,"Year:Vegetation_ZoneMid",0.0936,1.9052,0.0491,0.9609
"5","ACE","EIS","Abiotic Cover",122,"(Intercept)",1650.1454,8582.4548,0.1923,0.8479
"6","ACE","EIS","Abiotic Cover",122,"Year",-0.7788,4.2593,-0.1829,0.8552
"7","ACE","EIS","Abiotic Cover",122,"Vegetation_ZoneMid",4579.6772,8761.0112,0.5227,0.6021
"8","ACE","EIS","Abiotic Cover",122,"Year:Vegetation_ZoneMid",-2.2805,4.3479,-0.5245,0.6009
"9","APA","PC","Abiotic Cover",346,"(Intercept)",-3446.9701,2190.3483,-1.5737,0.1165
"10","APA","PC","Abiotic Cover",346,"Year",1.7189,1.0859,1.5829,0.1144
"11","APA","PC","Abiotic Cover",346,"Vegetation_ZoneMid",462.6725,2850.7205,0.1623,0.8712
"12","APA","PC","Abiotic Cover",346,"Vegetation_ZoneUp",6956.0451,7398.1316,0.9402,0.3478
"13","APA","PC","Abiotic Cover",346,"Year:Vegetation_ZoneMid",-0.2309,1.4133,-0.1634,0.8703
"14","APA","PC","Abiotic Cover",346,"Year:Vegetation_ZoneUp",-3.4507,3.6675,-0.9409,0.3474
"15","CBM","MB","Abiotic Cover",160,"(Intercept)",4147.8592,757.9244,5.4727,0
"16","CBM","MB","Abiotic Cover",160,"Year",-2.0276,0.3763,-5.3879,0
"17","CBM","MB","Abiotic Cover",160,"Vegetation_ZoneMid",-631.9323,1525.6902,-0.4142,0.6793
"18","CBM","MB","Abiotic Cover",160,"Year:Vegetation_ZoneMid",0.3101,0.7576,0.4093,0.6828
"19","CBM","OPC","Abiotic Cover",419,"(Intercept)",6884.897,877.2179,7.8486,0
"20","CBM","OPC","Abiotic Cover",419,"Year",-3.3951,0.436,-7.7868,0
"21","CBM","OPC","Abiotic Cover",419,"Vegetation_ZoneMid",-2146.5019,1106.4286,-1.94,0.0531
"22","CBM","OPC","Abiotic Cover",419,"Year:Vegetation_ZoneMid",1.0674,0.5499,1.941,0.0529
"23","DEL","SJR","Abiotic Cover",120,"(Intercept)",-4566.4875,3463.7253,-1.3184,0.19
"24","DEL","SJR","Abiotic Cover",120,"Year",2.2793,1.719,1.3259,0.1875
"25","DEL","SJR","Abiotic Cover",120,"Vegetation_ZoneMid",1017.7077,4070.3597,0.25,0.803
"26","DEL","SJR","Abiotic Cover",120,"Vegetation_ZoneUp",126.4875,10391.1759,0.0122,0.9903
"27","DEL","SJR","Abiotic Cover",120,"Year:Vegetation_ZoneMid",-0.5096,2.02,-0.2523,0.8013
"28","DEL","SJR","Abiotic Cover",120,"Year:Vegetation_ZoneUp",-0.0293,5.1569,-0.0057,0.9955
"29","ELK","Upper","Abiotic Cover",60,"(Intercept)",-2103.9897,4083.026,-0.5153,0.6084
"30","ELK","Upper","Abiotic Cover",60,"Year",1.0508,2.0233,0.5193,0.6057
"31","ELK","Upper","Abiotic Cover",60,"Vegetation_ZoneMid",2103.9897,10001.3302,0.2104,0.8342
"32","ELK","Upper","Abiotic Cover",60,"Vegetation_ZoneUp",-16052.6522,11903.964,-1.3485,0.1831
"33","ELK","Upper","Abiotic Cover",60,"Year:Vegetation_ZoneMid",-1.0508,4.9561,-0.212,0.8329
"34","ELK","Upper","Abiotic Cover",60,"Year:Vegetation_ZoneUp",7.9535,5.8989,1.3483,0.1832
