"","Reserve","SiteID","Vegetation_Zone","Metric","SampleSize","term","slope","std.error","statistic","pvalue"
"1","ACE","EIN","Mid","Abiotic Cover",107,"Year",-1.0236,0.9981,-1.0256,0.3075
"2","ACE","EIN","Low","Abiotic Cover",35,"Year",-1.1172,1.3107,-0.8524,0.4002
"3","ACE","EIS","Mid","Abiotic Cover",117,"Year",-3.0593,0.8741,-3.4998,7e-04
"4","ACE","EIS","Low","Abiotic Cover",5,"Year",-0.7788,4.0665,-0.1915,0.8603
"5","APA","PC","Low","Abiotic Cover",138,"Year",1.7189,1.1325,1.5178,0.1314
"6","APA","PC","Mid","Abiotic Cover",195,"Year",1.488,0.9,1.6534,0.0999
"7","APA","PC","Up","Abiotic Cover",13,"Year",-1.7317,1.0475,-1.6532,0.1265
"8","CBM","MB","Low","Abiotic Cover",121,"Year",-2.0276,0.3042,-6.6652,0
"9","CBM","MB","Mid","Abiotic Cover",39,"Year",-1.7174,0.9562,-1.7961,0.0807
"10","CBM","OPC","Low","Abiotic Cover",154,"Year",-3.3951,0.499,-6.8034,0
"11","CBM","OPC","Mid","Abiotic Cover",265,"Year",-2.3277,0.3037,-7.6656,0
"12","DEL","SJR","Up","Abiotic Cover",4,"Year",2.25,1.299,1.7321,0.2254
"13","DEL","SJR","Low","Abiotic Cover",32,"Year",2.2793,1.7331,1.3152,0.1984
"14","DEL","SJR","Mid","Abiotic Cover",84,"Year",1.7696,1.0698,1.6543,0.1019
"15","ELK","Upper","Up","Abiotic Cover",6,"Year",9.0043,5.6816,1.5848,0.1882
"16","ELK","Upper","Low","Abiotic Cover",45,"Year",1.0508,2.1773,0.4826,0.6318
"17","ELK","Lower","Up","Abiotic Cover",8,"Year",0,0,NA,1
"18","ELK","Lower","Low","Abiotic Cover",90,"Year",2.1109,1.535,1.3752,0.1726
"19","ELK","Upper","Mid","Abiotic Cover",9,"Year",0,0,NA,1
"20","GND","spalt","Low","Abiotic Cover",96,"Year",4.3045,0.9077,4.7423,0
"21","GND","spalt","Mid","Abiotic Cover",66,"Year",8.9156,0.9931,8.9777,0
"22","GND","juro low","Low","Abiotic Cover",36,"Year",6.3095,1.9692,3.204,0.0029
"23","GND","juro low","Mid","Abiotic Cover",174,"Year",8.6975,0.9187,9.4672,0
"24","GND","juro high","Mid","Abiotic Cover",116,"Year",7.0516,1.046,6.7416,0
"25","GND","juro high","Low","Abiotic Cover",12,"Year",-0.0071,2.4559,-0.0029,0.9977
"26","GND","juro mid","Mid","Abiotic Cover",204,"Year",5.742,0.7915,7.2547,0
"27","GND","juro mid","Low","Abiotic Cover",18,"Year",0.1286,2.9639,0.0434,0.9659
"28","GND","juro mid","Up","Abiotic Cover",18,"Year",8.0905,3.0537,2.6494,0.0175
"29","GND","clmaj","Up","Abiotic Cover",150,"Year",-1.62,1.1096,-1.46,0.1464
"30","GRB","SP","Low","Abiotic Cover",66,"Year",2.1152,0.7535,2.8072,0.0066
"31","GRB","SP","Mid","Abiotic Cover",363,"Year",-0.6635,0.3465,-1.9145,0.0563
"32","GRB","SP","Up","Abiotic Cover",62,"Year",-0.6923,0.5178,-1.337,0.1863
"33","GRB","GBF","Low","Abiotic Cover",66,"Year",0.4002,1.006,0.3978,0.6921
"34","GRB","GBF","Mid","Abiotic Cover",297,"Year",0.0646,0.3665,0.1763,0.8602
"35","GRB","GBF","Up","Abiotic Cover",66,"Year",-0.0908,0.8125,-0.1118,0.9113
"36","GRB","BC","Low","Abiotic Cover",109,"Year",0.5031,0.6596,0.7627,0.4473
"37","GRB","BC","Mid","Abiotic Cover",154,"Year",1.1677,0.4928,2.3698,0.0191
"38","GRB","BC","Up","Abiotic Cover",66,"Year",1.2504,0.6576,1.9015,0.0617
"39","GTM","22","Low","Abiotic Cover",399,"Year",-0.5243,0.4727,-1.1092,0.268
"40","GTM","0","Low","Abiotic Cover",349,"Year",-0.0082,0.4399,-0.0186,0.9852
"41","GTM","40","Low","Abiotic Cover",328,"Year",-1.5523,0.4277,-3.6295,3e-04
"42","GTM","1","Low","Abiotic Cover",375,"Year",0.4985,0.6082,0.8196,0.413
"43","GTM","46","Low","Abiotic Cover",388,"Year",0.7898,0.6735,1.1726,0.2417
"44","JAC","Central Segment","Low","Abiotic Cover",270,"Year",-1.73,0.3264,-5.3004,0
"45","JAC","South Segment","Low","Abiotic Cover",270,"Year",-0.5472,0.3952,-1.3845,0.1674
"46","KAC","FR","Mid","Abiotic Cover",416,"Year",-0.7221,0.3425,-2.1083,0.0356
"47","KAC","FR","Low","Abiotic Cover",112,"Year",-1.5585,0.7573,-2.0581,0.0419
"48","KAC","FR","Up","Abiotic Cover",18,"Year",-1.8221,1.5152,-1.2026,0.2466
"49","KAC","BS","Low","Abiotic Cover",322,"Year",-0.9854,0.58,-1.6988,0.0903
"50","KAC","BS","Mid","Abiotic Cover",12,"Year",-0.5009,0.8414,-0.5953,0.5649
"51","KAC","BS","Up","Abiotic Cover",12,"Year",-0.3349,0.2311,-1.4492,0.1779
"52","KAC","CP","Mid","Abiotic Cover",313,"Year",-0.2729,0.7053,-0.3869,0.6991
"53","KAC","CP","Low","Abiotic Cover",150,"Year",-0.2161,0.9554,-0.2262,0.8213
"54","KAC","SC","Low","Abiotic Cover",81,"Year",-0.4629,0.9632,-0.4805,0.6322
"55","KAC","SC","Mid","Abiotic Cover",80,"Year",-0.1691,0.4815,-0.3513,0.7263
"56","MAR","MI-W","Low","Abiotic Cover",548,"Year",0.2627,0.5228,0.5025,0.6155
"57","MAR","HF1","Low","Abiotic Cover",548,"Year",11.6628,0.4915,23.7271,0
"58","MAR","HF2","Low","Abiotic Cover",600,"Year",9.0587,0.5072,17.8589,0
"59","MAR","HF3","Low","Abiotic Cover",548,"Year",9.1453,0.5736,15.9427,0
"60","NAR","Nag","Low","Abiotic Cover",65,"Year",3.2656,0.5168,6.3184,0
"61","NAR","Nag","Mid","Abiotic Cover",208,"Year",1.1106,0.29,3.8303,2e-04
"62","NAR","Nag","Up","Abiotic Cover",39,"Year",0.9003,0.5104,1.7638,0.086
"63","NAR","Coggeshall","Mid","Abiotic Cover",143,"Year",2.1759,0.4223,5.1524,0
"64","NAR","Coggeshall","Low","Abiotic Cover",91,"Year",1.7568,0.5571,3.1537,0.0022
"65","NAR","Coggeshall","Up","Abiotic Cover",39,"Year",1.5501,0.7981,1.9422,0.0598
"66","NIW","Segment A","Mid","Abiotic Cover",130,"Year",-0.1621,0.6433,-0.252,0.8015
"67","NIW","Segment A","Low","Abiotic Cover",164,"Year",-1.747,0.5364,-3.2572,0.0014
