"","Reserve","SiteID","Metric","Region","salinity","tidal_range","Geomorphology","pvalue_count","pvalue_check"
"1","ACE","EIN","Abiotic Cover","Southeast","Polyhaline","Microtidal","Riverine",0,0
"2","ACE","EIN","Live Cover","Southeast","Polyhaline","Microtidal","Riverine",0,0
"3","ACE","EIN","Halophyte Cover","Southeast","Polyhaline","Microtidal","Riverine",0,0
"4","ACE","EIN","Freshwater Cover","Southeast","Polyhaline","Microtidal","Riverine",0,0
"5","ACE","EIN","EMI","Southeast","Polyhaline","Microtidal","Riverine",0,0
"6","ACE","EIN","Salt Ratio","Southeast","Polyhaline","Microtidal","Riverine",0,0
"7","ACE","EIN","Shannon-Weiner Diversity","Southeast","Polyhaline","Microtidal","Riverine",0,0
"8","ACE","EIN","Richness","Southeast","Polyhaline","Microtidal","Riverine",0,0
"9","ACE","EIS","Abiotic Cover","Southeast","Polyhaline","Microtidal","Riverine",1,1
"10","ACE","EIS","Live Cover","Southeast","Polyhaline","Microtidal","Riverine",1,1
"11","ACE","EIS","Halophyte Cover","Southeast","Polyhaline","Microtidal","Riverine",1,1
"12","ACE","EIS","Freshwater Cover","Southeast","Polyhaline","Microtidal","Riverine",0,0
"13","ACE","EIS","EMI","Southeast","Polyhaline","Microtidal","Riverine",1,1
"14","ACE","EIS","Salt Ratio","Southeast","Polyhaline","Microtidal","Riverine",2,1
"15","ACE","EIS","Shannon-Weiner Diversity","Southeast","Polyhaline","Microtidal","Riverine",0,0
"16","ACE","EIS","Richness","Southeast","Polyhaline","Microtidal","Riverine",2,1
"17","APA","PC","Abiotic Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"18","APA","PC","Live Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"19","APA","PC","Halophyte Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"20","APA","PC","Freshwater Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",2,1
"21","APA","PC","EMI","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"22","APA","PC","Salt Ratio","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"23","APA","PC","Shannon-Weiner Diversity","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"24","APA","PC","Richness","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"25","CBM","MB","Abiotic Cover","Mid-Atlantic","Mesohaline","Microtidal","Bay Front",1,1
