"","Reserve","SiteID","Region","Geomorphology","tidal_range","salinity","Metric","SampleSize","term","df","sumsq","meansq","statistic","pvalue"
"1","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Abiotic Cover",150,"Year",1,787.32,787.32,2.1317,0.1464
"2","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Abiotic Cover",150,"Residuals",148,54662.1533,369.3389,NA,1
"3","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",399,"Year",1,590.7753,590.7753,1.2303,0.268
"4","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",399,"Residuals",397,190640.8386,480.2036,NA,1
"5","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Abiotic Cover",349,"Year",1,0.1212,0.1212,3e-04,0.9852
"6","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Abiotic Cover",349,"Residuals",347,121867.0708,351.2019,NA,1
"7","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",328,"Year",1,4277.5181,4277.5181,13.1734,3e-04
"8","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",328,"Residuals",326,105855.2624,324.7094,NA,1
"9","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",375,"Year",1,485.4038,485.4038,0.6717,0.413
"10","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Abiotic Cover",375,"Residuals",373,269555.2755,722.6683,NA,1
"11","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Abiotic Cover",270,"Year",1,8459.9768,8459.9768,28.0944,0
"12","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Abiotic Cover",270,"Residuals",268,80702.1197,301.1273,NA,1
"13","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Abiotic Cover",270,"Year",1,846.2893,846.2893,1.9168,0.1674
"14","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Abiotic Cover",270,"Residuals",268,118324.3991,441.509,NA,1
