"","Reserve","SiteID","Metric","site_variable","Category","SampleSize","term","slope","std.error","statistic","pvalue"
"1","ACE","EIN","Abiotic Cover","Region","Southeast",568,"Year",-1.0265,0.8342,-1.2305,0.2206
"2","ACE","EIS","Abiotic Cover","Region","Southeast",488,"Year",-3.008,0.8553,-3.5167,6e-04
"3","APA","PC","Abiotic Cover","Region","Gulf Coast",1384,"Year",1.4137,0.6792,2.0814,0.0381
"4","CBM","MB","Abiotic Cover","Region","Mid-Atlantic",640,"Year",-1.9038,0.3327,-5.7226,0
"5","CBM","OPC","Abiotic Cover","Region","Mid-Atlantic",1676,"Year",-2.7255,0.2664,-10.2322,0
"6","DEL","SJR","Abiotic Cover","Region","Mid-Atlantic",480,"Year",1.9216,1.0438,1.8409,0.0682
"7","ELK","Upper","Abiotic Cover","Region","West Coast",240,"Year",1.6885,1.7574,0.9608,0.3406
"8","ELK","Lower","Abiotic Cover","Region","West Coast",400,"Year",2.1328,1.426,1.4957,0.1379
"9","GND","spalt","Abiotic Cover","Region","Gulf Coast",648,"Year",6.1831,0.696,8.8838,0
"10","GND","juro low","Abiotic Cover","Region","Gulf Coast",840,"Year",8.2882,0.835,9.9261,0
"11","GND","juro high","Abiotic Cover","Region","Gulf Coast",512,"Year",6.3744,1.0488,6.0776,0
"12","GND","juro mid","Abiotic Cover","Region","Gulf Coast",960,"Year",5.4971,0.8013,6.8607,0
"13","GND","clmaj","Abiotic Cover","Region","Gulf Coast",600,"Year",-1.62,1.1096,-1.46,0.1464
"14","GRB","SP","Abiotic Cover","Region","Northeast",1964,"Year",-0.2791,0.2902,-0.9617,0.3367
"15","GRB","GBF","Abiotic Cover","Region","Northeast",1716,"Year",0.0923,0.3688,0.2503,0.8025
"16","GRB","BC","Abiotic Cover","Region","Northeast",1316,"Year",0.9726,0.3674,2.6476,0.0085
"17","GTM","22","Abiotic Cover","Region","Southeast",1596,"Year",-0.5243,0.4727,-1.1092,0.268
"18","GTM","0","Abiotic Cover","Region","Southeast",1396,"Year",-0.0082,0.4399,-0.0186,0.9852
"19","GTM","40","Abiotic Cover","Region","Southeast",1312,"Year",-1.5523,0.4277,-3.6295,3e-04
"20","GTM","1","Abiotic Cover","Region","Southeast",1500,"Year",0.4985,0.6082,0.8196,0.413
"21","GTM","46","Abiotic Cover","Region","Southeast",1624,"Year",0.4449,0.6237,0.7134,0.476
"22","JAC","Central Segment","Abiotic Cover","Region","Mid-Atlantic",1080,"Year",-1.73,0.3264,-5.3004,0
"23","JAC","South Segment","Abiotic Cover","Region","Mid-Atlantic",1080,"Year",-0.5472,0.3952,-1.3845,0.1674
"24","KAC","FR","Abiotic Cover","Region","West Coast",2184,"Year",-0.9315,0.3269,-2.8497,0.0045
"25","KAC","BS","Abiotic Cover","Region","West Coast",1384,"Year",-0.9517,0.5607,-1.6974,0.0905
"26","KAC","CP","Abiotic Cover","Region","West Coast",1852,"Year",-0.2054,0.5759,-0.3567,0.7215
"27","KAC","SC","Abiotic Cover","Region","West Coast",644,"Year",-0.2938,0.5523,-0.5319,0.5955
"28","MAR","MI-W","Abiotic Cover","Region","Gulf Coast",2192,"Year",0.2627,0.5228,0.5025,0.6155
"29","MAR","HF1","Abiotic Cover","Region","Gulf Coast",2192,"Year",11.6628,0.4915,23.7271,0
"30","MAR","HF2","Abiotic Cover","Region","Gulf Coast",2400,"Year",9.0587,0.5072,17.8589,0
"31","MAR","HF3","Abiotic Cover","Region","Gulf Coast",2192,"Year",9.1453,0.5736,15.9427,0
"32","NAR","Nag","Abiotic Cover","Region","Northeast",1248,"Year",1.5333,0.2409,6.3653,0
"33","NAR","Coggeshall","Abiotic Cover","Region","Northeast",1092,"Year",1.9468,0.3146,6.1881,0
"34","NIW","Segment A","Abiotic Cover","Region","Southeast",1276,"Year",-0.866,0.4203,-2.0606,0.0402
"35","NIW","Segment B","Abiotic Cover","Region","Southeast",1352,"Year",-0.6443,0.4077,-1.5803,0.115
