"","skim_type","skim_variable","n_missing","complete_rate","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100"
"1","numeric","Total.unvegetated",2330,0.85,47.85,31.79,0.1,19.2,45.97,74.35,100
"2","numeric","Bare",12595,0.2,28.29,28.68,0.1,5.18,17,42.5,100
"3","numeric","Dead",13164,0.16,18.36,18.09,0.1,4,12.24,29.01,100
"4","numeric","Rock",15731,0,5.21,5.6,0.75,1.4,2.86,7.25,20
"5","numeric","Wood",15738,0,8.19,7.05,1.12,2.2,6.59,13.37,18.47
"6","numeric","Wrack",14144,0.1,22.81,25.66,0.1,4,13.61,33,100
"7","numeric","Water",15605,0.01,37.93,25.13,0.66,15.83,36.71,59.23,88.85
"8","numeric","Other.Unvegetated",6313,0.6,49.14,32.19,0.1,20,50,75,100
"9","numeric","Total.live.veg",1100,0.93,63.67,30.88,0.06,39.62,70,94.37,100.02
"10","numeric","A.Algae",15318,0.03,10.85,15.08,0.09,2,5,13.07,95.53
"11","numeric","B.Brackish",12973,0.18,36.89,29.88,0.06,10,30,60,100
"12","numeric","F.Freshwater",14685,0.07,28.33,24.32,0.1,6.98,24.52,41.63,100.01
"13","numeric","H.Halophyte",2889,0.82,59.74,32.28,0.06,32.07,64.69,90,100.02
"14","numeric","U.Upland",14656,0.07,23.95,30.5,0.08,2.5,10,34.57,100.01
"15","numeric","Other.live.vegetation",15546,0.01,6.93,9.93,0.1,1,2,9.35,54.1
"16","numeric","EIR",0,1,0.35,0.35,0,0,0.25,0.65,1
"17","numeric","Richness",0,1,2.55,2.09,0,1,2,4,21
"18","numeric","SWdiv",0,1,0.44,0.5,0,0,0.27,0.77,2.72
"19","numeric","Invasive_Cover",15475,0.02,16.8,24.12,0.1,2.5,6.34,19.1,100
"20","numeric","Unveg_to_veg",0,1,Inf,NA,0,0.09,0.54,2.33,Inf
"21","numeric","Salt_to_Total",1100,0.93,0.92,0.25,0,1,1,1,1
"22","numeric","Spartina.alterniflora",9561,0.39,44.64,29.44,0.07,20,41.98,68.62,100
"23","numeric","Spartina.patens",14110,0.1,30.04,28.36,0.09,5,20,47,100
"24","numeric","Juncus.roemerianus",14320,0.09,43.47,30.3,0.08,19.8,36.04,70,100
"25","numeric","Salicornia.pacifica",14788,0.06,49.93,34.41,0.4,16.9,47.5,83.2,100
